layer_name,type,mean_ms,power_gpu_mw,power_total_mw,timestamp
[04/28/2026-13:21:40] [I] Sleep time,TensorRTLayer,0.0,0,0,
[04/28/2026-13:22:07] [I] Average on 10 runs - GPU latency,TensorRTLayer,15.0902,0,0,
[04/28/2026-13:22:07] [I] Average on 10 runs - GPU latency,TensorRTLayer,9.61338,0,0,
[04/28/2026-13:22:07] [I] Average on 10 runs - GPU latency,TensorRTLayer,10.3787,0,0,
[04/28/2026-13:22:07] [I] Average on 10 runs - GPU latency,TensorRTLayer,13.2516,0,0,
[04/28/2026-13:22:07] [I] Average on 10 runs - GPU latency,TensorRTLayer,17.5215,0,0,
[04/28/2026-13:22:07] [I] Average on 10 runs - GPU latency,TensorRTLayer,15.3497,0,0,
[04/28/2026-13:22:07] [I] Average on 10 runs - GPU latency,TensorRTLayer,12.2357,0,0,
[04/28/2026-13:22:07] [I] Average on 10 runs - GPU latency,TensorRTLayer,12.2763,0,0,
[04/28/2026-13:22:07] [I] Average on 10 runs - GPU latency,TensorRTLayer,12.453,0,0,
[04/28/2026-13:22:07] [I] Average on 10 runs - GPU latency,TensorRTLayer,12.7751,0,0,
[04/28/2026-13:22:20] [I],TensorRTLayer,4.5,0,0,
[04/28/2026-13:22:20] [I],TensorRTLayer,0.8,0,0,
[04/28/2026-13:22:20] [I],TensorRTLayer,1.9,0,0,
[04/28/2026-13:22:20] [I],TensorRTLayer,0.5,0,0,
[04/28/2026-13:22:20] [I],TensorRTLayer,2.9,0,0,
[04/28/2026-13:22:20] [I],TensorRTLayer,0.7,0,0,
[04/28/2026-13:22:20] [I],TensorRTLayer,0.8,0,0,
[04/28/2026-13:22:20] [I],TensorRTLayer,2.1,0,0,
[04/28/2026-13:22:20] [I],TensorRTLayer,2.1,0,0,
[04/28/2026-13:22:20] [I],TensorRTLayer,0.6,0,0,
[04/28/2026-13:22:20] [I],TensorRTLayer,0.7,0,0,
[04/28/2026-13:22:20] [I],TensorRTLayer,1.2,0,0,
[04/28/2026-13:22:20] [I],TensorRTLayer,0.7,0,0,
[04/28/2026-13:22:20] [I],TensorRTLayer,0.7,0,0,
[04/28/2026-13:22:20] [I],TensorRTLayer,0.3,0,0,
[04/28/2026-13:22:20] [I],TensorRTLayer,1.7,0,0,
[04/28/2026-13:22:20] [I],TensorRTLayer,0.1,0,0,
[04/28/2026-13:22:20] [I],TensorRTLayer,0.2,0,0,
[04/28/2026-13:22:20] [I],TensorRTLayer,0.1,0,0,
[04/28/2026-13:22:20] [I],TensorRTLayer,1.0,0,0,
[04/28/2026-13:22:20] [I],TensorRTLayer,0.4,0,0,
[04/28/2026-13:22:20] [I],TensorRTLayer,0.5,0,0,
[04/28/2026-13:22:20] [I],TensorRTLayer,0.5,0,0,
[04/28/2026-13:22:20] [I],TensorRTLayer,0.7,0,0,
[04/28/2026-13:22:20] [I],TensorRTLayer,0.3,0,0,
[04/28/2026-13:22:20] [I],TensorRTLayer,0.6,0,0,
[04/28/2026-13:22:20] [I],TensorRTLayer,3.3,0,0,
[04/28/2026-13:22:20] [I],TensorRTLayer,0.4,0,0,
[04/28/2026-13:22:20] [I],TensorRTLayer,0.4,0,0,
[04/28/2026-13:22:20] [I],TensorRTLayer,1.2,0,0,
[04/28/2026-13:22:20] [I],TensorRTLayer,0.7,0,0,
[04/28/2026-13:22:20] [I],TensorRTLayer,0.7,0,0,
[04/28/2026-13:22:20] [I],TensorRTLayer,0.7,0,0,
[04/28/2026-13:22:20] [I],TensorRTLayer,0.7,0,0,
[04/28/2026-13:22:20] [I],TensorRTLayer,0.3,0,0,
[04/28/2026-13:22:20] [I],TensorRTLayer,0.8,0,0,
[04/28/2026-13:22:20] [I],TensorRTLayer,2.3,0,0,
[04/28/2026-13:22:20] [I],TensorRTLayer,0.4,0,0,
[04/28/2026-13:22:20] [I],TensorRTLayer,0.6,0,0,
[04/28/2026-13:22:20] [I],TensorRTLayer,2.6,0,0,
[04/28/2026-13:22:20] [I],TensorRTLayer,1.0,0,0,
[04/28/2026-13:22:20] [I],TensorRTLayer,0.8,0,0,
[04/28/2026-13:22:20] [I],TensorRTLayer,0.7,0,0,
[04/28/2026-13:22:20] [I],TensorRTLayer,0.5,0,0,
[04/28/2026-13:22:20] [I],TensorRTLayer,0.5,0,0,
[04/28/2026-13:22:20] [I],TensorRTLayer,0.8,0,0,
[04/28/2026-13:22:20] [I],TensorRTLayer,2.0,0,0,
[04/28/2026-13:22:20] [I],TensorRTLayer,0.7,0,0,
[04/28/2026-13:22:20] [I],TensorRTLayer,0.9,0,0,
[04/28/2026-13:22:20] [I],TensorRTLayer,2.5,0,0,
[04/28/2026-13:22:20] [I],TensorRTLayer,0.8,0,0,
[04/28/2026-13:22:20] [I],TensorRTLayer,0.7,0,0,
[04/28/2026-13:22:20] [I],TensorRTLayer,0.8,0,0,
[04/28/2026-13:22:20] [I],TensorRTLayer,0.8,0,0,
[04/28/2026-13:22:20] [I],TensorRTLayer,0.4,0,0,
[04/28/2026-13:22:20] [I],TensorRTLayer,0.8,0,0,
[04/28/2026-13:22:20] [I],TensorRTLayer,2.0,0,0,
[04/28/2026-13:22:20] [I],TensorRTLayer,0.6,0,0,
[04/28/2026-13:22:20] [I],TensorRTLayer,0.9,0,0,
[04/28/2026-13:22:20] [I],TensorRTLayer,2.6,0,0,
[04/28/2026-13:22:20] [I],TensorRTLayer,0.9,0,0,
[04/28/2026-13:22:20] [I],TensorRTLayer,0.8,0,0,
[04/28/2026-13:22:20] [I],TensorRTLayer,0.8,0,0,
[04/28/2026-13:22:20] [I],TensorRTLayer,0.8,0,0,
[04/28/2026-13:22:20] [I],TensorRTLayer,0.7,0,0,
[04/28/2026-13:22:20] [I],TensorRTLayer,0.4,0,0,
[04/28/2026-13:22:20] [I],TensorRTLayer,2.4,0,0,
[04/28/2026-13:22:20] [I],TensorRTLayer,0.3,0,0,
[04/28/2026-13:22:20] [I],TensorRTLayer,0.9,0,0,
[04/28/2026-13:22:20] [I],TensorRTLayer,2.5,0,0,
[04/28/2026-13:22:20] [I],TensorRTLayer,0.8,0,0,
[04/28/2026-13:22:20] [I],TensorRTLayer,0.7,0,0,
[04/28/2026-13:22:20] [I],TensorRTLayer,0.8,0,0,
[04/28/2026-13:22:20] [I],TensorRTLayer,1.2,0,0,
[04/28/2026-13:22:20] [I],TensorRTLayer,0.2,0,0,
[04/28/2026-13:22:20] [I],TensorRTLayer,0.6,0,0,
[04/28/2026-13:22:20] [I],TensorRTLayer,3.3,0,0,
[04/28/2026-13:22:20] [I],TensorRTLayer,0.2,0,0,
[04/28/2026-13:22:20] [I],TensorRTLayer,0.3,0,0,
[04/28/2026-13:22:20] [I],TensorRTLayer,0.8,0,0,
[04/28/2026-13:22:20] [I],TensorRTLayer,0.8,0,0,
[04/28/2026-13:22:20] [I],TensorRTLayer,0.8,0,0,
[04/28/2026-13:22:20] [I],TensorRTLayer,0.7,0,0,
[04/28/2026-13:22:20] [I],TensorRTLayer,1.2,0,0,
[04/28/2026-13:22:20] [I],TensorRTLayer,0.9,0,0,
[04/28/2026-13:22:20] [I],TensorRTLayer,0.2,0,0,
[04/28/2026-13:22:20] [I],TensorRTLayer,0.4,0,0,
[04/28/2026-13:22:20] [I],TensorRTLayer,3.2,0,0,
[04/28/2026-13:22:20] [I],TensorRTLayer,0.2,0,0,
[04/28/2026-13:22:20] [I],TensorRTLayer,0.4,0,0,
[04/28/2026-13:22:20] [I],TensorRTLayer,0.8,0,0,
[04/28/2026-13:22:20] [I],TensorRTLayer,0.8,0,0,
[04/28/2026-13:22:20] [I],TensorRTLayer,0.8,0,0,
[04/28/2026-13:22:20] [I],TensorRTLayer,0.7,0,0,
[04/28/2026-13:22:20] [I],TensorRTLayer,1.2,0,0,
[04/28/2026-13:22:20] [I],TensorRTLayer,0.9,0,0,
[04/28/2026-13:22:20] [I],TensorRTLayer,0.2,0,0,
[04/28/2026-13:22:20] [I],TensorRTLayer,0.4,0,0,
[04/28/2026-13:22:20] [I],TensorRTLayer,1.3,0,0,
[04/28/2026-13:22:20] [I],TensorRTLayer,0.2,0,0,
[04/28/2026-13:22:20] [I],TensorRTLayer,1.6,0,0,
[04/28/2026-13:22:20] [I],TensorRTLayer,0.1,0,0,
[04/28/2026-13:22:20] [I],TensorRTLayer,100.0,0,0,
