layer_name,type,mean_ms,power_gpu_mw,power_total_mw,timestamp
[04/28/2026-13:22:37] [I] Sleep time,TensorRTLayer,0.0,0,0,
[04/28/2026-13:23:01] [I] Average on 10 runs - GPU latency,TensorRTLayer,9.26885,0,0,
[04/28/2026-13:23:01] [I] Average on 10 runs - GPU latency,TensorRTLayer,9.40791,0,0,
[04/28/2026-13:23:01] [I] Average on 10 runs - GPU latency,TensorRTLayer,9.24297,0,0,
[04/28/2026-13:23:01] [I] Average on 10 runs - GPU latency,TensorRTLayer,9.08037,0,0,
[04/28/2026-13:23:01] [I] Average on 10 runs - GPU latency,TensorRTLayer,9.07842,0,0,
[04/28/2026-13:23:01] [I] Average on 10 runs - GPU latency,TensorRTLayer,9.09463,0,0,
[04/28/2026-13:23:01] [I] Average on 10 runs - GPU latency,TensorRTLayer,9.11982,0,0,
[04/28/2026-13:23:01] [I] Average on 10 runs - GPU latency,TensorRTLayer,9.70762,0,0,
[04/28/2026-13:23:01] [I] Average on 10 runs - GPU latency,TensorRTLayer,11.6803,0,0,
[04/28/2026-13:23:01] [I] Average on 10 runs - GPU latency,TensorRTLayer,9.18721,0,0,
[04/28/2026-13:23:01] [I] Average on 10 runs - GPU latency,TensorRTLayer,9.10439,0,0,
[04/28/2026-13:23:01] [I] Average on 10 runs - GPU latency,TensorRTLayer,9.10693,0,0,
[04/28/2026-13:23:01] [I] Average on 10 runs - GPU latency,TensorRTLayer,9.25635,0,0,
[04/28/2026-13:23:01] [I] Average on 10 runs - GPU latency,TensorRTLayer,9.13506,0,0,
[04/28/2026-13:23:01] [I] Average on 10 runs - GPU latency,TensorRTLayer,9.1083,0,0,
[04/28/2026-13:23:01] [I] Average on 10 runs - GPU latency,TensorRTLayer,9.29688,0,0,
[04/28/2026-13:23:01] [I] Average on 10 runs - GPU latency,TensorRTLayer,9.14258,0,0,
[04/28/2026-13:23:01] [I] Average on 10 runs - GPU latency,TensorRTLayer,9.12793,0,0,
[04/28/2026-13:23:01] [I] Average on 10 runs - GPU latency,TensorRTLayer,9.27481,0,0,
[04/28/2026-13:23:01] [I] Average on 10 runs - GPU latency,TensorRTLayer,9.67393,0,0,
