layer_index,layer_name,type,module_repr,input_shape,output_shape,param_count,trainable_param_count,in_channels,out_channels,kernel_size,stride,padding,dilation,groups,bias,calls,mean_ms,std_ms,min_ms,max_ms,p50_ms,p95_ms,power_gpu_mw,power_total_mw,timestamp
1,conv1,Conv2d,"Conv2d(3, 64, kernel_size=(7, 7), stride=(2, 2), padding=(3, 3), bias=False)",1x3x224x224,1x64x112x112,9408,9408,3,64,7x7,2x2,3x3,1x1,1,False,100,2.913617,0.032148,2.862871,3.043553,2.905424,2.970632,0,0,1777376036.0502512
2,bn1,BatchNorm2d,"BatchNorm2d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1x64x112x112,1x64x112x112,128,128,,,,,,,,True,100,0.807098,0.018491,0.784079,0.892935,0.800564,0.846586,0,0,1777376036.0513296
3,relu,ReLU,ReLU(inplace=True),1x64x112x112,1x64x112x112,0,0,,,,,,,,False,100,0.494536,0.01448,0.477145,0.565324,0.491364,0.512728,0,0,1777376036.0519917
4,maxpool,MaxPool2d,"MaxPool2d(kernel_size=3, stride=2, padding=1, dilation=1, ceil_mode=False)",1x64x112x112,1x64x56x56,0,0,,,3,2,1,1,,False,100,1.515171,0.016099,1.498156,1.570658,1.50938,1.559121,0,0,1777376036.0536883
5,layer1.0.conv1,Conv2d,"Conv2d(64, 64, kernel_size=(1, 1), stride=(1, 1), bias=False)",1x64x56x56,1x64x56x56,4096,4096,64,64,1x1,1x1,0x0,1x1,1,False,100,0.990407,0.029307,0.924185,1.153461,0.983432,1.039647,0,0,1777376036.0549293
6,layer1.0.bn1,BatchNorm2d,"BatchNorm2d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1x64x56x56,1x64x56x56,128,128,,,,,,,,True,100,0.445954,0.036166,0.400686,0.679753,0.433577,0.511161,0,0,1777376036.0555458
7,layer1.0.relu,ReLU,ReLU(inplace=True),1x64x56x56,1x64x56x56,0,0,,,,,,,,False,300,0.359493,0.140261,0.247349,2.125617,0.287714,0.486721,0,0,1777376036.0661254
8,layer1.0.conv2,Conv2d,"Conv2d(64, 64, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), bias=False)",1x64x56x56,1x64x56x56,36864,36864,64,64,3x3,1x1,1x1,1x1,1,False,100,1.905841,0.036552,1.850559,2.108325,1.893815,1.958322,0,0,1777376036.0580864
9,layer1.0.bn2,BatchNorm2d,"BatchNorm2d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1x64x56x56,1x64x56x56,128,128,,,,,,,,True,100,0.435292,0.024063,0.395477,0.515323,0.42579,0.484924,0,0,1777376036.058695
10,layer1.0.conv3,Conv2d,"Conv2d(64, 256, kernel_size=(1, 1), stride=(1, 1), bias=False)",1x64x56x56,1x256x56x56,16384,16384,64,256,1x1,1x1,0x0,1x1,1,False,100,1.783694,0.028929,1.724775,1.862956,1.773265,1.84321,0,0,1777376036.0610988
11,layer1.0.bn3,BatchNorm2d,"BatchNorm2d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1x256x56x56,1x256x56x56,512,512,,,,,,,,True,100,0.816248,0.019905,0.796683,0.927571,0.810147,0.853791,0,0,1777376036.062095
12,layer1.0.downsample.0,Conv2d,"Conv2d(64, 256, kernel_size=(1, 1), stride=(1, 1), bias=False)",1x64x56x56,1x256x56x56,16384,16384,64,256,1x1,1x1,0x0,1x1,1,False,100,1.74387,0.029468,1.697223,1.863007,1.733916,1.797845,0,0,1777376036.0640426
13,layer1.0.downsample.1,BatchNorm2d,"BatchNorm2d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1x256x56x56,1x256x56x56,512,512,,,,,,,,True,100,0.814094,0.018435,0.794235,0.882987,0.806918,0.855914,0,0,1777376036.0649936
14,layer1.1.conv1,Conv2d,"Conv2d(256, 64, kernel_size=(1, 1), stride=(1, 1), bias=False)",1x256x56x56,1x64x56x56,16384,16384,256,64,1x1,1x1,0x0,1x1,1,False,100,1.912926,0.049859,1.851497,2.349736,1.902018,1.95202,0,0,1777376036.068231
15,layer1.1.bn1,BatchNorm2d,"BatchNorm2d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1x64x56x56,1x64x56x56,128,128,,,,,,,,True,100,0.429172,0.038991,0.388393,0.727411,0.4173,0.487433,0,0,1777376036.068903
16,layer1.1.relu,ReLU,ReLU(inplace=True),1x64x56x56,1x64x56x56,0,0,,,,,,,,False,300,0.347696,0.09571,0.239067,0.531313,0.279251,0.48778,0,0,1777376036.0765872
17,layer1.1.conv2,Conv2d,"Conv2d(64, 64, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), bias=False)",1x64x56x56,1x64x56x56,36864,36864,64,64,3x3,1x1,1x1,1x1,1,False,100,1.878952,0.044251,1.828371,2.189941,1.86996,1.922748,0,0,1777376036.0713975
18,layer1.1.bn2,BatchNorm2d,"BatchNorm2d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1x64x56x56,1x64x56x56,128,128,,,,,,,,True,100,0.444112,0.164444,0.38032,2.048532,0.416701,0.485242,0,0,1777376036.0721157
19,layer1.1.conv3,Conv2d,"Conv2d(64, 256, kernel_size=(1, 1), stride=(1, 1), bias=False)",1x64x56x56,1x256x56x56,16384,16384,64,256,1x1,1x1,0x0,1x1,1,False,100,1.756376,0.035223,1.69691,1.914622,1.746937,1.818055,0,0,1777376036.0744526
20,layer1.1.bn3,BatchNorm2d,"BatchNorm2d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1x256x56x56,1x256x56x56,512,512,,,,,,,,True,100,0.809548,0.02629,0.790746,0.94429,0.800641,0.865119,0,0,1777376036.0754344
21,layer1.2.conv1,Conv2d,"Conv2d(256, 64, kernel_size=(1, 1), stride=(1, 1), bias=False)",1x256x56x56,1x64x56x56,16384,16384,256,64,1x1,1x1,0x0,1x1,1,False,100,1.896994,0.025804,1.854257,2.034313,1.889179,1.93593,0,0,1777376036.078688
22,layer1.2.bn1,BatchNorm2d,"BatchNorm2d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1x64x56x56,1x64x56x56,128,128,,,,,,,,True,100,0.421011,0.028397,0.389488,0.599439,0.410113,0.471835,0,0,1777376036.0792627
23,layer1.2.relu,ReLU,ReLU(inplace=True),1x64x56x56,1x64x56x56,0,0,,,,,,,,False,300,0.350472,0.13683,0.228651,2.004313,0.274719,0.491167,0,0,1777376036.0867383
24,layer1.2.conv2,Conv2d,"Conv2d(64, 64, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), bias=False)",1x64x56x56,1x64x56x56,36864,36864,64,64,3x3,1x1,1x1,1x1,1,False,100,1.864401,0.0368,1.814933,2.049157,1.852043,1.914268,0,0,1777376036.0817502
25,layer1.2.bn2,BatchNorm2d,"BatchNorm2d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1x64x56x56,1x64x56x56,128,128,,,,,,,,True,100,0.425122,0.087744,0.385217,1.257995,0.408186,0.48094,0,0,1777376036.0823355
26,layer1.2.conv3,Conv2d,"Conv2d(64, 256, kernel_size=(1, 1), stride=(1, 1), bias=False)",1x64x56x56,1x256x56x56,16384,16384,64,256,1x1,1x1,0x0,1x1,1,False,100,1.751198,0.034488,1.700347,1.907644,1.737249,1.823437,0,0,1777376036.0846457
27,layer1.2.bn3,BatchNorm2d,"BatchNorm2d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1x256x56x56,1x256x56x56,512,512,,,,,,,,True,100,0.809147,0.022211,0.789808,0.912623,0.801084,0.85238,0,0,1777376036.0856133
28,layer2.0.conv1,Conv2d,"Conv2d(256, 128, kernel_size=(1, 1), stride=(1, 1), bias=False)",1x256x56x56,1x128x56x56,32768,32768,256,128,1x1,1x1,0x0,1x1,1,False,100,2.383955,0.037876,2.325881,2.606148,2.370075,2.439092,0,0,1777376036.0893345
29,layer2.0.bn1,BatchNorm2d,"BatchNorm2d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1x128x56x56,1x128x56x56,256,256,,,,,,,,True,100,0.563416,0.022615,0.540011,0.675691,0.555141,0.607971,0,0,1777376036.090041
30,layer2.0.relu,ReLU,ReLU(inplace=True),1x128x56x56,1x128x56x56,0,0,,,,,,,,False,300,0.293364,0.031851,0.224067,0.40256,0.27886,0.347674,0,0,1777376036.1035655
31,layer2.0.conv2,Conv2d,"Conv2d(128, 128, kernel_size=(3, 3), stride=(2, 2), padding=(1, 1), bias=False)",1x128x56x56,1x128x28x28,147456,147456,128,128,3x3,2x2,1x1,1x1,1,False,100,4.561587,0.03727,4.499832,4.770307,4.560824,4.6119,0,0,1777376036.095134
32,layer2.0.bn2,BatchNorm2d,"BatchNorm2d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1x128x28x28,1x128x28x28,256,256,,,,,,,,True,100,0.4254,0.037852,0.374382,0.704286,0.415425,0.487336,0,0,1777376036.0957248
33,layer2.0.conv3,Conv2d,"Conv2d(128, 512, kernel_size=(1, 1), stride=(1, 1), bias=False)",1x128x28x28,1x512x28x28,65536,65536,128,512,1x1,1x1,0x0,1x1,1,False,100,1.698471,0.038511,1.623732,1.834569,1.689618,1.770315,0,0,1777376036.0980225
34,layer2.0.bn3,BatchNorm2d,"BatchNorm2d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1x512x28x28,1x512x28x28,1024,1024,,,,,,,,True,100,0.615544,0.16311,0.578502,2.229213,0.5947,0.642094,0,0,1777376036.0987828
35,layer2.0.downsample.0,Conv2d,"Conv2d(256, 512, kernel_size=(1, 1), stride=(2, 2), bias=False)",1x256x56x56,1x512x28x28,131072,131072,256,512,1x1,2x2,0x0,1x1,1,False,100,3.127011,0.033794,3.045219,3.260536,3.122174,3.185167,0,0,1777376036.1020656
36,layer2.0.downsample.1,BatchNorm2d,"BatchNorm2d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1x512x28x28,1x512x28x28,1024,1024,,,,,,,,True,100,0.605174,0.027572,0.581679,0.790433,0.595064,0.658224,0,0,1777376036.1027906
