layer_name,type,mean_ms,power_gpu_mw,power_total_mw,timestamp
[04/28/2026-13:35:20] [I] Sleep time,TensorRTLayer,0.0,0,0,
[04/28/2026-13:35:46] [I] Average on 10 runs - GPU latency,TensorRTLayer,42.1225,0,0,
[04/28/2026-13:35:46] [I] Average on 10 runs - GPU latency,TensorRTLayer,42.2291,0,0,
[04/28/2026-13:35:46] [I] Average on 10 runs - GPU latency,TensorRTLayer,42.1987,0,0,
[04/28/2026-13:35:46] [I] Average on 10 runs - GPU latency,TensorRTLayer,42.1731,0,0,
[04/28/2026-13:35:46] [I] Average on 10 runs - GPU latency,TensorRTLayer,42.1101,0,0,
[04/28/2026-13:35:46] [I] Average on 10 runs - GPU latency,TensorRTLayer,42.1433,0,0,
[04/28/2026-13:35:46] [I] Average on 10 runs - GPU latency,TensorRTLayer,42.1679,0,0,
[04/28/2026-13:35:46] [I] Average on 10 runs - GPU latency,TensorRTLayer,42.1388,0,0,
[04/28/2026-13:35:46] [I] Average on 10 runs - GPU latency,TensorRTLayer,42.1086,0,0,
[04/28/2026-13:35:46] [I] Average on 10 runs - GPU latency,TensorRTLayer,42.1975,0,0,
[04/28/2026-13:36:01] [I],TensorRTLayer,0.9,0,0,
[04/28/2026-13:36:01] [I],TensorRTLayer,3.6,0,0,
[04/28/2026-13:36:01] [I],TensorRTLayer,0.6,0,0,
[04/28/2026-13:36:01] [I],TensorRTLayer,0.5,0,0,
[04/28/2026-13:36:01] [I],TensorRTLayer,1.8,0,0,
[04/28/2026-13:36:01] [I],TensorRTLayer,1.6,0,0,
[04/28/2026-13:36:01] [I],TensorRTLayer,1.7,0,0,
[04/28/2026-13:36:01] [I],TensorRTLayer,1.1,0,0,
[04/28/2026-13:36:01] [I],TensorRTLayer,1.8,0,0,
[04/28/2026-13:36:01] [I],TensorRTLayer,1.7,0,0,
[04/28/2026-13:36:01] [I],TensorRTLayer,1.1,0,0,
[04/28/2026-13:36:01] [I],TensorRTLayer,1.8,0,0,
[04/28/2026-13:36:01] [I],TensorRTLayer,1.7,0,0,
[04/28/2026-13:36:01] [I],TensorRTLayer,2.1,0,0,
[04/28/2026-13:36:01] [I],TensorRTLayer,2.4,0,0,
[04/28/2026-13:36:01] [I],TensorRTLayer,1.4,0,0,
[04/28/2026-13:36:01] [I],TensorRTLayer,2.4,0,0,
[04/28/2026-13:36:01] [I],TensorRTLayer,1.1,0,0,
[04/28/2026-13:36:01] [I],TensorRTLayer,1.8,0,0,
[04/28/2026-13:36:01] [I],TensorRTLayer,1.4,0,0,
[04/28/2026-13:36:01] [I],TensorRTLayer,1.1,0,0,
[04/28/2026-13:36:01] [I],TensorRTLayer,1.7,0,0,
[04/28/2026-13:36:01] [I],TensorRTLayer,1.4,0,0,
[04/28/2026-13:36:01] [I],TensorRTLayer,1.1,0,0,
[04/28/2026-13:36:01] [I],TensorRTLayer,1.7,0,0,
[04/28/2026-13:36:01] [I],TensorRTLayer,1.4,0,0,
[04/28/2026-13:36:01] [I],TensorRTLayer,2.2,0,0,
[04/28/2026-13:36:01] [I],TensorRTLayer,2.7,0,0,
[04/28/2026-13:36:01] [I],TensorRTLayer,1.4,0,0,
[04/28/2026-13:36:01] [I],TensorRTLayer,2.6,0,0,
[04/28/2026-13:36:01] [I],TensorRTLayer,1.2,0,0,
[04/28/2026-13:36:01] [I],TensorRTLayer,1.6,0,0,
[04/28/2026-13:36:01] [I],TensorRTLayer,1.4,0,0,
[04/28/2026-13:36:01] [I],TensorRTLayer,1.2,0,0,
[04/28/2026-13:36:01] [I],TensorRTLayer,1.6,0,0,
[04/28/2026-13:36:01] [I],TensorRTLayer,1.4,0,0,
[04/28/2026-13:36:01] [I],TensorRTLayer,1.2,0,0,
[04/28/2026-13:36:01] [I],TensorRTLayer,1.6,0,0,
[04/28/2026-13:36:01] [I],TensorRTLayer,1.4,0,0,
[04/28/2026-13:36:01] [I],TensorRTLayer,1.2,0,0,
[04/28/2026-13:36:01] [I],TensorRTLayer,1.6,0,0,
[04/28/2026-13:36:01] [I],TensorRTLayer,1.4,0,0,
[04/28/2026-13:36:01] [I],TensorRTLayer,1.2,0,0,
[04/28/2026-13:36:01] [I],TensorRTLayer,1.6,0,0,
[04/28/2026-13:36:01] [I],TensorRTLayer,1.4,0,0,
[04/28/2026-13:36:01] [I],TensorRTLayer,2.4,0,0,
[04/28/2026-13:36:01] [I],TensorRTLayer,5.2,0,0,
[04/28/2026-13:36:01] [I],TensorRTLayer,2.5,0,0,
[04/28/2026-13:36:01] [I],TensorRTLayer,4.8,0,0,
[04/28/2026-13:36:01] [I],TensorRTLayer,1.9,0,0,
[04/28/2026-13:36:01] [I],TensorRTLayer,2.5,0,0,
[04/28/2026-13:36:01] [I],TensorRTLayer,2.5,0,0,
[04/28/2026-13:36:01] [I],TensorRTLayer,1.9,0,0,
[04/28/2026-13:36:01] [I],TensorRTLayer,2.4,0,0,
[04/28/2026-13:36:01] [I],TensorRTLayer,2.5,0,0,
[04/28/2026-13:36:01] [I],TensorRTLayer,0.2,0,0,
[04/28/2026-13:36:01] [I],TensorRTLayer,0.8,0,0,
[04/28/2026-13:36:01] [I],TensorRTLayer,0.0,0,0,
[04/28/2026-13:36:01] [I],TensorRTLayer,100.0,0,0,
