layer_name,type,mean_ms,power_gpu_mw,power_total_mw,timestamp
[04/28/2026-13:36:17] [I] Sleep time,TensorRTLayer,0.0,0,0,
[04/28/2026-13:36:54] [I] Average on 10 runs - GPU latency,TensorRTLayer,77.0537,0,0,
[04/28/2026-13:36:54] [I] Average on 10 runs - GPU latency,TensorRTLayer,77.0366,0,0,
[04/28/2026-13:36:54] [I] Average on 10 runs - GPU latency,TensorRTLayer,77.1221,0,0,
[04/28/2026-13:36:54] [I] Average on 10 runs - GPU latency,TensorRTLayer,77.0414,0,0,
[04/28/2026-13:36:54] [I] Average on 10 runs - GPU latency,TensorRTLayer,77.0398,0,0,
[04/28/2026-13:36:54] [I] Average on 10 runs - GPU latency,TensorRTLayer,76.9754,0,0,
[04/28/2026-13:36:54] [I] Average on 10 runs - GPU latency,TensorRTLayer,77.1717,0,0,
[04/28/2026-13:36:54] [I] Average on 10 runs - GPU latency,TensorRTLayer,77.085,0,0,
[04/28/2026-13:36:54] [I] Average on 10 runs - GPU latency,TensorRTLayer,77.1202,0,0,
[04/28/2026-13:36:54] [I] Average on 10 runs - GPU latency,TensorRTLayer,77.0789,0,0,
[04/28/2026-13:37:12] [I],TensorRTLayer,3.1,0,0,
[04/28/2026-13:37:12] [I],TensorRTLayer,0.6,0,0,
[04/28/2026-13:37:12] [I],TensorRTLayer,0.4,0,0,
[04/28/2026-13:37:12] [I],TensorRTLayer,1.7,0,0,
[04/28/2026-13:37:12] [I],TensorRTLayer,1.5,0,0,
[04/28/2026-13:37:12] [I],TensorRTLayer,1.6,0,0,
[04/28/2026-13:37:12] [I],TensorRTLayer,1.1,0,0,
[04/28/2026-13:37:12] [I],TensorRTLayer,1.7,0,0,
[04/28/2026-13:37:12] [I],TensorRTLayer,1.6,0,0,
[04/28/2026-13:37:12] [I],TensorRTLayer,1.1,0,0,
[04/28/2026-13:37:12] [I],TensorRTLayer,1.7,0,0,
[04/28/2026-13:37:12] [I],TensorRTLayer,1.6,0,0,
[04/28/2026-13:37:12] [I],TensorRTLayer,2.2,0,0,
[04/28/2026-13:37:12] [I],TensorRTLayer,2.6,0,0,
[04/28/2026-13:37:12] [I],TensorRTLayer,1.4,0,0,
[04/28/2026-13:37:12] [I],TensorRTLayer,2.6,0,0,
[04/28/2026-13:37:12] [I],TensorRTLayer,1.2,0,0,
[04/28/2026-13:37:12] [I],TensorRTLayer,1.7,0,0,
[04/28/2026-13:37:12] [I],TensorRTLayer,1.4,0,0,
[04/28/2026-13:37:12] [I],TensorRTLayer,1.2,0,0,
[04/28/2026-13:37:12] [I],TensorRTLayer,1.7,0,0,
[04/28/2026-13:37:12] [I],TensorRTLayer,1.4,0,0,
[04/28/2026-13:37:12] [I],TensorRTLayer,1.2,0,0,
[04/28/2026-13:37:12] [I],TensorRTLayer,1.7,0,0,
[04/28/2026-13:37:12] [I],TensorRTLayer,1.4,0,0,
[04/28/2026-13:37:12] [I],TensorRTLayer,2.3,0,0,
[04/28/2026-13:37:12] [I],TensorRTLayer,2.9,0,0,
[04/28/2026-13:37:12] [I],TensorRTLayer,1.4,0,0,
[04/28/2026-13:37:12] [I],TensorRTLayer,2.7,0,0,
[04/28/2026-13:37:12] [I],TensorRTLayer,1.3,0,0,
[04/28/2026-13:37:12] [I],TensorRTLayer,1.6,0,0,
[04/28/2026-13:37:12] [I],TensorRTLayer,1.5,0,0,
[04/28/2026-13:37:12] [I],TensorRTLayer,1.3,0,0,
[04/28/2026-13:37:12] [I],TensorRTLayer,1.6,0,0,
[04/28/2026-13:37:12] [I],TensorRTLayer,1.5,0,0,
[04/28/2026-13:37:12] [I],TensorRTLayer,1.3,0,0,
[04/28/2026-13:37:12] [I],TensorRTLayer,1.6,0,0,
[04/28/2026-13:37:12] [I],TensorRTLayer,1.5,0,0,
[04/28/2026-13:37:12] [I],TensorRTLayer,1.3,0,0,
[04/28/2026-13:37:12] [I],TensorRTLayer,1.6,0,0,
[04/28/2026-13:37:12] [I],TensorRTLayer,1.5,0,0,
[04/28/2026-13:37:12] [I],TensorRTLayer,1.3,0,0,
[04/28/2026-13:37:12] [I],TensorRTLayer,1.6,0,0,
[04/28/2026-13:37:12] [I],TensorRTLayer,1.5,0,0,
[04/28/2026-13:37:12] [I],TensorRTLayer,2.6,0,0,
[04/28/2026-13:37:12] [I],TensorRTLayer,4.8,0,0,
[04/28/2026-13:37:12] [I],TensorRTLayer,2.7,0,0,
[04/28/2026-13:37:12] [I],TensorRTLayer,5.2,0,0,
[04/28/2026-13:37:12] [I],TensorRTLayer,0.1,0,0,
[04/28/2026-13:37:12] [I],TensorRTLayer,1.3,0,0,
[04/28/2026-13:37:12] [I],TensorRTLayer,0.0,0,0,
[04/28/2026-13:37:12] [I],TensorRTLayer,2.4,0,0,
[04/28/2026-13:37:12] [I],TensorRTLayer,2.7,0,0,
[04/28/2026-13:37:12] [I],TensorRTLayer,0.1,0,0,
[04/28/2026-13:37:12] [I],TensorRTLayer,1.3,0,0,
[04/28/2026-13:37:12] [I],TensorRTLayer,0.0,0,0,
[04/28/2026-13:37:12] [I],TensorRTLayer,2.4,0,0,
[04/28/2026-13:37:12] [I],TensorRTLayer,2.7,0,0,
[04/28/2026-13:37:12] [I],TensorRTLayer,0.1,0,0,
[04/28/2026-13:37:12] [I],TensorRTLayer,0.8,0,0,
[04/28/2026-13:37:12] [I],TensorRTLayer,100.0,0,0,
