layer_index,layer_name,type,module_repr,input_shape,output_shape,param_count,trainable_param_count,in_channels,out_channels,kernel_size,stride,padding,dilation,groups,bias,calls,mean_ms,std_ms,min_ms,max_ms,p50_ms,p95_ms,power_gpu_mw,power_total_mw,timestamp
1,conv1.0,Conv2d,"Conv2d(3, 24, kernel_size=(3, 3), stride=(2, 2), padding=(1, 1), bias=False)",1x3x224x224,1x24x112x112,648,648,3,24,3x3,2x2,1x1,1x1,1,False,100,9.788707,3.994808,5.570684,17.648372,11.121419,17.43872,0,0,1777278723.112365
2,conv1.1,BatchNorm2d,"BatchNorm2d(24, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1x24x112x112,1x24x112x112,48,48,,,,,,,,True,100,1.022571,0.703038,0.659128,5.480942,0.677279,1.57724,0,0,1777278723.1131048
3,conv1.2,ReLU,ReLU(inplace=True),1x24x112x112,1x24x112x112,0,0,,,,,,,,False,100,0.610197,0.268336,0.42329,1.850506,0.457639,0.958389,0,0,1777278723.1136363
4,maxpool,MaxPool2d,"MaxPool2d(kernel_size=3, stride=2, padding=1, dilation=1, ceil_mode=False)",1x24x112x112,1x24x56x56,0,0,,,3,2,1,1,,False,100,8.509511,2.990102,5.680478,14.679719,6.220801,12.840415,0,0,1777278723.1195612
5,stage2.0.branch1.0,Conv2d,"Conv2d(24, 24, kernel_size=(3, 3), stride=(2, 2), padding=(1, 1), groups=24, bias=False)",1x24x56x56,1x24x28x28,216,216,24,24,3x3,2x2,1x1,1x1,24,False,100,7.22261,2.262187,3.774607,14.342942,6.442395,10.899066,0,0,1777278723.1270235
6,stage2.0.branch1.1,BatchNorm2d,"BatchNorm2d(24, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1x24x28x28,1x24x28x28,48,48,,,,,,,,True,100,0.418393,0.232063,0.247088,0.804651,0.26188,0.795417,0,0,1777278723.1273384
7,stage2.0.branch1.2,Conv2d,"Conv2d(24, 58, kernel_size=(1, 1), stride=(1, 1), bias=False)",1x24x28x28,1x58x28x28,1392,1392,24,58,1x1,1x1,0x0,1x1,1,False,100,1.537919,1.933948,0.468186,7.48968,0.495218,6.595397,0,0,1777278723.1279578
8,stage2.0.branch1.3,BatchNorm2d,"BatchNorm2d(58, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1x58x28x28,1x58x28x28,116,116,,,,,,,,True,100,0.429529,0.30136,0.241203,1.185544,0.256541,1.156398,0,0,1777278723.12828
9,stage2.0.branch1.4,ReLU,ReLU(inplace=True),1x58x28x28,1x58x28x28,0,0,,,,,,,,False,100,0.231331,0.111588,0.149691,0.479281,0.155263,0.401245,0,0,1777278723.1284864
10,stage2.0.branch2.0,Conv2d,"Conv2d(24, 58, kernel_size=(1, 1), stride=(1, 1), bias=False)",1x24x56x56,1x58x56x56,1392,1392,24,58,1x1,1x1,0x0,1x1,1,False,100,2.117472,1.040439,1.268463,8.658089,1.456774,3.209672,0,0,1777278723.1298773
11,stage2.0.branch2.1,BatchNorm2d,"BatchNorm2d(58, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1x58x56x56,1x58x56x56,116,116,,,,,,,,True,100,0.788973,0.495125,0.474385,2.481352,0.497301,2.245493,0,0,1777278723.1304264
12,stage2.0.branch2.2,ReLU,ReLU(inplace=True),1x58x56x56,1x58x56x56,0,0,,,,,,,,False,100,0.423322,0.163173,0.303652,1.024656,0.315371,0.66473,0,0,1777278723.1307943
13,stage2.0.branch2.3,Conv2d,"Conv2d(58, 58, kernel_size=(3, 3), stride=(2, 2), padding=(1, 1), groups=58, bias=False)",1x58x56x56,1x58x28x28,522,522,58,58,3x3,2x2,1x1,1x1,58,False,100,14.420161,4.623538,9.587483,21.719912,13.750613,20.506729,0,0,1777278723.1407282
14,stage2.0.branch2.4,BatchNorm2d,"BatchNorm2d(58, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1x58x28x28,1x58x28x28,116,116,,,,,,,,True,100,0.531851,0.342768,0.284381,1.138773,0.296959,1.064336,0,0,1777278723.1411083
15,stage2.0.branch2.5,Conv2d,"Conv2d(58, 58, kernel_size=(1, 1), stride=(1, 1), bias=False)",1x58x28x28,1x58x28x28,3364,3364,58,58,1x1,1x1,0x0,1x1,1,False,100,1.993536,1.947754,0.77288,10.336091,0.840538,6.043118,0,0,1777278723.14195
16,stage2.0.branch2.6,BatchNorm2d,"BatchNorm2d(58, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1x58x28x28,1x58x28x28,116,116,,,,,,,,True,100,0.415943,0.308056,0.239692,1.494978,0.257089,1.439104,0,0,1777278723.1422558
17,stage2.0.branch2.7,ReLU,ReLU(inplace=True),1x58x28x28,1x58x28x28,0,0,,,,,,,,False,100,0.201903,0.105072,0.127919,0.384695,0.136513,0.374671,0,0,1777278723.1424382
18,stage2.1.branch2.0,Conv2d,"Conv2d(58, 58, kernel_size=(1, 1), stride=(1, 1), bias=False)",1x58x28x28,1x58x28x28,3364,3364,58,58,1x1,1x1,0x0,1x1,1,False,100,1.5104,0.842933,0.773192,3.028602,0.873507,2.88501,0,0,1777278723.1441243
19,stage2.1.branch2.1,BatchNorm2d,"BatchNorm2d(58, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1x58x28x28,1x58x28x28,116,116,,,,,,,,True,100,0.431577,0.309898,0.263651,1.720503,0.276438,0.893034,0,0,1777278723.1445606
20,stage2.1.branch2.2,ReLU,ReLU(inplace=True),1x58x28x28,1x58x28x28,0,0,,,,,,,,False,100,0.20964,0.112931,0.134742,0.573709,0.140992,0.396812,0,0,1777278723.1448374
21,stage2.1.branch2.3,Conv2d,"Conv2d(58, 58, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), groups=58, bias=False)",1x58x28x28,1x58x28x28,522,522,58,58,3x3,1x1,1x1,1x1,58,False,100,7.783915,3.461449,4.965567,13.674283,5.332372,13.38715,0,0,1777278723.1550517
22,stage2.1.branch2.4,BatchNorm2d,"BatchNorm2d(58, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1x58x28x28,1x58x28x28,116,116,,,,,,,,True,100,0.565972,0.87645,0.259068,6.676852,0.273963,0.970407,0,0,1777278723.156065
23,stage2.1.branch2.5,Conv2d,"Conv2d(58, 58, kernel_size=(1, 1), stride=(1, 1), bias=False)",1x58x28x28,1x58x28x28,3364,3364,58,58,1x1,1x1,0x0,1x1,1,False,100,1.851082,1.952705,0.723243,7.767186,0.80387,7.47149,0,0,1777278723.1576426
24,stage2.1.branch2.6,BatchNorm2d,"BatchNorm2d(58, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1x58x28x28,1x58x28x28,116,116,,,,,,,,True,100,0.381936,0.316372,0.221619,2.269368,0.240761,0.725595,0,0,1777278723.1582599
25,stage2.1.branch2.7,ReLU,ReLU(inplace=True),1x58x28x28,1x58x28x28,0,0,,,,,,,,False,100,0.198328,0.122349,0.116929,0.688972,0.126642,0.368526,0,0,1777278723.1586483
26,stage2.2.branch2.0,Conv2d,"Conv2d(58, 58, kernel_size=(1, 1), stride=(1, 1), bias=False)",1x58x28x28,1x58x28x28,3364,3364,58,58,1x1,1x1,0x0,1x1,1,False,100,1.452624,0.788084,0.763297,3.005893,0.878533,2.840982,0,0,1777278723.161813
27,stage2.2.branch2.1,BatchNorm2d,"BatchNorm2d(58, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1x58x28x28,1x58x28x28,116,116,,,,,,,,True,100,0.427675,0.300928,0.255786,1.656491,0.275214,0.822793,0,0,1777278723.1624968
28,stage2.2.branch2.2,ReLU,ReLU(inplace=True),1x58x28x28,1x58x28x28,0,0,,,,,,,,False,100,0.226491,0.216798,0.133544,2.076864,0.140915,0.401804,0,0,1777278723.162945
29,stage2.2.branch2.3,Conv2d,"Conv2d(58, 58, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), groups=58, bias=False)",1x58x28x28,1x58x28x28,522,522,58,58,3x3,1x1,1x1,1x1,58,False,100,7.83916,3.482226,4.926713,13.802827,5.309116,13.246143,0,0,1777278723.1765084
30,stage2.2.branch2.4,BatchNorm2d,"BatchNorm2d(58, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1x58x28x28,1x58x28x28,116,116,,,,,,,,True,100,0.454484,0.301086,0.255318,1.026478,0.268338,0.969884,0,0,1777278723.1775818
31,stage2.2.branch2.5,Conv2d,"Conv2d(58, 58, kernel_size=(1, 1), stride=(1, 1), bias=False)",1x58x28x28,1x58x28x28,3364,3364,58,58,1x1,1x1,0x0,1x1,1,False,100,1.886519,2.07047,0.725274,9.206278,0.800459,7.585386,0,0,1777278723.1790087
32,stage2.2.branch2.6,BatchNorm2d,"BatchNorm2d(58, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1x58x28x28,1x58x28x28,116,116,,,,,,,,True,100,0.376548,0.271769,0.221306,1.385653,0.239901,0.86435,0,0,1777278723.1799047
33,stage2.2.branch2.7,ReLU,ReLU(inplace=True),1x58x28x28,1x58x28x28,0,0,,,,,,,,False,100,0.185411,0.100216,0.116565,0.378028,0.124821,0.362317,0,0,1777278723.1803188
34,stage2.3.branch2.0,Conv2d,"Conv2d(58, 58, kernel_size=(1, 1), stride=(1, 1), bias=False)",1x58x28x28,1x58x28x28,3364,3364,58,58,1x1,1x1,0x0,1x1,1,False,100,1.447318,0.861222,0.768714,4.285554,0.821787,2.90151,0,0,1777278723.1834865
35,stage2.3.branch2.1,BatchNorm2d,"BatchNorm2d(58, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1x58x28x28,1x58x28x28,116,116,,,,,,,,True,100,0.480467,0.410099,0.257349,1.842432,0.275657,1.638226,0,0,1777278723.1842268
36,stage2.3.branch2.2,ReLU,ReLU(inplace=True),1x58x28x28,1x58x28x28,0,0,,,,,,,,False,100,0.220072,0.143006,0.134065,1.042261,0.140914,0.414659,0,0,1777278723.1846802
37,stage2.3.branch2.3,Conv2d,"Conv2d(58, 58, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), groups=58, bias=False)",1x58x28x28,1x58x28x28,522,522,58,58,3x3,1x1,1x1,1x1,58,False,100,7.933432,3.470533,4.937234,14.64399,5.41641,13.318562,0,0,1777278723.1978695
38,stage2.3.branch2.4,BatchNorm2d,"BatchNorm2d(58, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1x58x28x28,1x58x28x28,116,116,,,,,,,,True,100,0.567552,0.886209,0.257817,6.62456,0.272766,0.982004,0,0,1777278723.19886
39,stage2.3.branch2.5,Conv2d,"Conv2d(58, 58, kernel_size=(1, 1), stride=(1, 1), bias=False)",1x58x28x28,1x58x28x28,3364,3364,58,58,1x1,1x1,0x0,1x1,1,False,100,1.7584,1.840427,0.722931,7.727914,0.797307,7.246771,0,0,1777278723.2004738
40,stage2.3.branch2.6,BatchNorm2d,"BatchNorm2d(58, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1x58x28x28,1x58x28x28,116,116,,,,,,,,True,100,0.438256,0.589723,0.221411,5.471202,0.240474,1.361835,0,0,1777278723.2011
41,stage2.3.branch2.7,ReLU,ReLU(inplace=True),1x58x28x28,1x58x28x28,0,0,,,,,,,,False,100,0.196146,0.131275,0.115002,1.045698,0.126695,0.364252,0,0,1777278723.201499
42,stage3.0.branch1.0,Conv2d,"Conv2d(116, 116, kernel_size=(3, 3), stride=(2, 2), padding=(1, 1), groups=116, bias=False)",1x116x28x28,1x116x14x14,1044,1044,116,116,3x3,2x2,1x1,1x1,116,False,100,15.175548,6.579301,9.175964,27.94613,11.415072,25.456854,0,0,1777278723.228425
43,stage3.0.branch1.1,BatchNorm2d,"BatchNorm2d(116, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1x116x14x14,1x116x14x14,232,232,,,,,,,,True,100,0.561486,0.756053,0.273911,6.943003,0.291673,1.019572,0,0,1777278723.2294664
