layer_name,type,mean_ms,power_gpu_mw,power_total_mw,timestamp
[04/28/2026-13:29:38] [I] Sleep time,TensorRTLayer,0.0,0,0,
[04/28/2026-13:30:01] [I] Average on 10 runs - GPU latency,TensorRTLayer,10.5448,0,0,
[04/28/2026-13:30:01] [I] Average on 10 runs - GPU latency,TensorRTLayer,10.5077,0,0,
[04/28/2026-13:30:01] [I] Average on 10 runs - GPU latency,TensorRTLayer,10.5553,0,0,
[04/28/2026-13:30:01] [I] Average on 10 runs - GPU latency,TensorRTLayer,10.5693,0,0,
[04/28/2026-13:30:01] [I] Average on 10 runs - GPU latency,TensorRTLayer,10.5807,0,0,
[04/28/2026-13:30:01] [I] Average on 10 runs - GPU latency,TensorRTLayer,10.5788,0,0,
[04/28/2026-13:30:01] [I] Average on 10 runs - GPU latency,TensorRTLayer,10.583,0,0,
[04/28/2026-13:30:01] [I] Average on 10 runs - GPU latency,TensorRTLayer,10.5818,0,0,
[04/28/2026-13:30:01] [I] Average on 10 runs - GPU latency,TensorRTLayer,10.5801,0,0,
[04/28/2026-13:30:01] [I] Average on 10 runs - GPU latency,TensorRTLayer,10.5832,0,0,
[04/28/2026-13:30:01] [I] Average on 10 runs - GPU latency,TensorRTLayer,10.5657,0,0,
[04/28/2026-13:30:01] [I] Average on 10 runs - GPU latency,TensorRTLayer,10.5629,0,0,
[04/28/2026-13:30:01] [I] Average on 10 runs - GPU latency,TensorRTLayer,10.5798,0,0,
[04/28/2026-13:30:01] [I] Average on 10 runs - GPU latency,TensorRTLayer,10.5872,0,0,
[04/28/2026-13:30:01] [I] Average on 10 runs - GPU latency,TensorRTLayer,10.5844,0,0,
[04/28/2026-13:30:01] [I] Average on 10 runs - GPU latency,TensorRTLayer,10.5778,0,0,
[04/28/2026-13:30:01] [I] Average on 10 runs - GPU latency,TensorRTLayer,10.5783,0,0,
[04/28/2026-13:30:01] [I] Average on 10 runs - GPU latency,TensorRTLayer,10.5755,0,0,
[04/28/2026-13:30:01] [I] Average on 10 runs - GPU latency,TensorRTLayer,10.5721,0,0,
[04/28/2026-13:30:01] [I] Average on 10 runs - GPU latency,TensorRTLayer,10.5715,0,0,
[04/28/2026-13:30:01] [I] Average on 10 runs - GPU latency,TensorRTLayer,10.5878,0,0,
[04/28/2026-13:30:01] [I] Average on 10 runs - GPU latency,TensorRTLayer,10.5703,0,0,
[04/28/2026-13:30:01] [I] Average on 10 runs - GPU latency,TensorRTLayer,10.5764,0,0,
[04/28/2026-13:30:01] [I] Average on 10 runs - GPU latency,TensorRTLayer,10.5908,0,0,
[04/28/2026-13:30:01] [I] Average on 10 runs - GPU latency,TensorRTLayer,10.5565,0,0,
[04/28/2026-13:30:01] [I] Average on 10 runs - GPU latency,TensorRTLayer,10.5841,0,0,
[04/28/2026-13:30:01] [I] Average on 10 runs - GPU latency,TensorRTLayer,10.5718,0,0,
[04/28/2026-13:30:01] [I] Average on 10 runs - GPU latency,TensorRTLayer,12.8018,0,0,
[04/28/2026-13:30:14] [I],TensorRTLayer,4.7,0,0,
[04/28/2026-13:30:14] [I],TensorRTLayer,1.5,0,0,
[04/28/2026-13:30:14] [I],TensorRTLayer,0.8,0,0,
[04/28/2026-13:30:14] [I],TensorRTLayer,1.7,0,0,
[04/28/2026-13:30:14] [I],TensorRTLayer,0.6,0,0,
[04/28/2026-13:30:14] [I],TensorRTLayer,1.7,0,0,
[04/28/2026-13:30:14] [I],TensorRTLayer,0.9,0,0,
[04/28/2026-13:30:14] [I],TensorRTLayer,2.2,0,0,
[04/28/2026-13:30:14] [I],TensorRTLayer,0.3,0,0,
[04/28/2026-13:30:14] [I],TensorRTLayer,0.3,0,0,
[04/28/2026-13:30:14] [I],TensorRTLayer,0.8,0,0,
[04/28/2026-13:30:14] [I],TensorRTLayer,0.8,0,0,
