layer_name,type,mean_ms,power_gpu_mw,power_total_mw,timestamp
[04/28/2026-13:31:24] [I] Sleep time,TensorRTLayer,0.0,0,0,
[04/28/2026-13:31:47] [I] Average on 10 runs - GPU latency,TensorRTLayer,10.6108,0,0,
[04/28/2026-13:31:47] [I] Average on 10 runs - GPU latency,TensorRTLayer,10.616,0,0,
[04/28/2026-13:31:47] [I] Average on 10 runs - GPU latency,TensorRTLayer,10.6005,0,0,
[04/28/2026-13:31:47] [I] Average on 10 runs - GPU latency,TensorRTLayer,10.6099,0,0,
[04/28/2026-13:31:47] [I] Average on 10 runs - GPU latency,TensorRTLayer,10.6088,0,0,
[04/28/2026-13:31:47] [I] Average on 10 runs - GPU latency,TensorRTLayer,10.5985,0,0,
[04/28/2026-13:31:47] [I] Average on 10 runs - GPU latency,TensorRTLayer,10.5982,0,0,
[04/28/2026-13:31:47] [I] Average on 10 runs - GPU latency,TensorRTLayer,10.6087,0,0,
[04/28/2026-13:31:47] [I] Average on 10 runs - GPU latency,TensorRTLayer,10.531,0,0,
[04/28/2026-13:31:47] [I] Average on 10 runs - GPU latency,TensorRTLayer,10.543,0,0,
[04/28/2026-13:31:47] [I] Average on 10 runs - GPU latency,TensorRTLayer,10.532,0,0,
[04/28/2026-13:31:47] [I] Average on 10 runs - GPU latency,TensorRTLayer,10.5292,0,0,
[04/28/2026-13:31:47] [I] Average on 10 runs - GPU latency,TensorRTLayer,10.5319,0,0,
[04/28/2026-13:31:47] [I] Average on 10 runs - GPU latency,TensorRTLayer,10.5381,0,0,
[04/28/2026-13:31:47] [I] Average on 10 runs - GPU latency,TensorRTLayer,10.582,0,0,
[04/28/2026-13:31:47] [I] Average on 10 runs - GPU latency,TensorRTLayer,10.6072,0,0,
[04/28/2026-13:31:47] [I] Average on 10 runs - GPU latency,TensorRTLayer,10.6081,0,0,
[04/28/2026-13:31:47] [I] Average on 10 runs - GPU latency,TensorRTLayer,10.5492,0,0,
[04/28/2026-13:31:47] [I] Average on 10 runs - GPU latency,TensorRTLayer,10.5879,0,0,
[04/28/2026-13:31:47] [I] Average on 10 runs - GPU latency,TensorRTLayer,10.5827,0,0,
[04/28/2026-13:31:47] [I] Average on 10 runs - GPU latency,TensorRTLayer,10.5503,0,0,
[04/28/2026-13:31:47] [I] Average on 10 runs - GPU latency,TensorRTLayer,10.5389,0,0,
[04/28/2026-13:31:47] [I] Average on 10 runs - GPU latency,TensorRTLayer,10.5415,0,0,
[04/28/2026-13:31:47] [I] Average on 10 runs - GPU latency,TensorRTLayer,10.5303,0,0,
[04/28/2026-13:31:47] [I] Average on 10 runs - GPU latency,TensorRTLayer,10.523,0,0,
[04/28/2026-13:31:47] [I] Average on 10 runs - GPU latency,TensorRTLayer,10.5415,0,0,
[04/28/2026-13:31:47] [I] Average on 10 runs - GPU latency,TensorRTLayer,10.5305,0,0,
[04/28/2026-13:31:47] [I] Average on 10 runs - GPU latency,TensorRTLayer,10.5309,0,0,
[04/28/2026-13:32:00] [I],TensorRTLayer,3.7,0,0,
[04/28/2026-13:32:00] [I],TensorRTLayer,1.1,0,0,
[04/28/2026-13:32:00] [I],TensorRTLayer,0.6,0,0,
[04/28/2026-13:32:00] [I],TensorRTLayer,1.3,0,0,
[04/28/2026-13:32:00] [I],TensorRTLayer,0.5,0,0,
[04/28/2026-13:32:00] [I],TensorRTLayer,1.4,0,0,
[04/28/2026-13:32:00] [I],TensorRTLayer,0.7,0,0,
[04/28/2026-13:32:00] [I],TensorRTLayer,1.7,0,0,
[04/28/2026-13:32:00] [I],TensorRTLayer,0.2,0,0,
[04/28/2026-13:32:00] [I],TensorRTLayer,0.3,0,0,
[04/28/2026-13:32:00] [I],TensorRTLayer,0.7,0,0,
[04/28/2026-13:32:00] [I],TensorRTLayer,0.7,0,0,
[04/28/2026-13:32:00] [I],TensorRTLayer,0.8,0,0,
[04/28/2026-13:32:00] [I],TensorRTLayer,1.7,0,0,
[04/28/2026-13:32:00] [I],TensorRTLayer,0.2,0,0,
[04/28/2026-13:32:00] [I],TensorRTLayer,0.2,0,0,
[04/28/2026-13:32:00] [I],TensorRTLayer,0.8,0,0,
[04/28/2026-13:32:00] [I],TensorRTLayer,0.7,0,0,
[04/28/2026-13:32:00] [I],TensorRTLayer,0.8,0,0,
[04/28/2026-13:32:00] [I],TensorRTLayer,1.7,0,0,
[04/28/2026-13:32:00] [I],TensorRTLayer,0.2,0,0,
[04/28/2026-13:32:00] [I],TensorRTLayer,0.2,0,0,
[04/28/2026-13:32:00] [I],TensorRTLayer,0.8,0,0,
[04/28/2026-13:32:00] [I],TensorRTLayer,0.7,0,0,
[04/28/2026-13:32:00] [I],TensorRTLayer,0.8,0,0,
[04/28/2026-13:32:00] [I],TensorRTLayer,1.7,0,0,
[04/28/2026-13:32:00] [I],TensorRTLayer,0.8,0,0,
[04/28/2026-13:32:00] [I],TensorRTLayer,1.8,0,0,
[04/28/2026-13:32:00] [I],TensorRTLayer,0.6,0,0,
[04/28/2026-13:32:00] [I],TensorRTLayer,0.8,0,0,
[04/28/2026-13:32:00] [I],TensorRTLayer,0.5,0,0,
[04/28/2026-13:32:00] [I],TensorRTLayer,0.8,0,0,
[04/28/2026-13:32:00] [I],TensorRTLayer,0.1,0,0,
[04/28/2026-13:32:00] [I],TensorRTLayer,0.2,0,0,
[04/28/2026-13:32:00] [I],TensorRTLayer,0.6,0,0,
[04/28/2026-13:32:00] [I],TensorRTLayer,0.7,0,0,
[04/28/2026-13:32:00] [I],TensorRTLayer,0.6,0,0,
[04/28/2026-13:32:00] [I],TensorRTLayer,0.9,0,0,
[04/28/2026-13:32:00] [I],TensorRTLayer,0.2,0,0,
[04/28/2026-13:32:00] [I],TensorRTLayer,0.4,0,0,
[04/28/2026-13:32:00] [I],TensorRTLayer,0.8,0,0,
[04/28/2026-13:32:00] [I],TensorRTLayer,0.9,0,0,
[04/28/2026-13:32:00] [I],TensorRTLayer,0.8,0,0,
[04/28/2026-13:32:00] [I],TensorRTLayer,1.2,0,0,
[04/28/2026-13:32:00] [I],TensorRTLayer,0.4,0,0,
[04/28/2026-13:32:00] [I],TensorRTLayer,0.8,0,0,
[04/28/2026-13:32:00] [I],TensorRTLayer,1.0,0,0,
[04/28/2026-13:32:00] [I],TensorRTLayer,1.0,0,0,
[04/28/2026-13:32:00] [I],TensorRTLayer,1.0,0,0,
[04/28/2026-13:32:00] [I],TensorRTLayer,1.2,0,0,
[04/28/2026-13:32:00] [I],TensorRTLayer,0.4,0,0,
[04/28/2026-13:32:00] [I],TensorRTLayer,0.9,0,0,
[04/28/2026-13:32:00] [I],TensorRTLayer,1.0,0,0,
[04/28/2026-13:32:00] [I],TensorRTLayer,1.0,0,0,
[04/28/2026-13:32:00] [I],TensorRTLayer,0.9,0,0,
[04/28/2026-13:32:00] [I],TensorRTLayer,1.2,0,0,
[04/28/2026-13:32:00] [I],TensorRTLayer,0.4,0,0,
[04/28/2026-13:32:00] [I],TensorRTLayer,0.9,0,0,
[04/28/2026-13:32:00] [I],TensorRTLayer,1.0,0,0,
[04/28/2026-13:32:00] [I],TensorRTLayer,1.0,0,0,
[04/28/2026-13:32:00] [I],TensorRTLayer,0.9,0,0,
[04/28/2026-13:32:00] [I],TensorRTLayer,1.2,0,0,
[04/28/2026-13:32:00] [I],TensorRTLayer,0.4,0,0,
[04/28/2026-13:32:00] [I],TensorRTLayer,0.9,0,0,
[04/28/2026-13:32:00] [I],TensorRTLayer,1.0,0,0,
[04/28/2026-13:32:00] [I],TensorRTLayer,1.0,0,0,
[04/28/2026-13:32:00] [I],TensorRTLayer,1.0,0,0,
[04/28/2026-13:32:00] [I],TensorRTLayer,1.2,0,0,
[04/28/2026-13:32:00] [I],TensorRTLayer,0.4,0,0,
[04/28/2026-13:32:00] [I],TensorRTLayer,0.9,0,0,
[04/28/2026-13:32:00] [I],TensorRTLayer,1.0,0,0,
[04/28/2026-13:32:00] [I],TensorRTLayer,1.0,0,0,
[04/28/2026-13:32:00] [I],TensorRTLayer,0.9,0,0,
[04/28/2026-13:32:00] [I],TensorRTLayer,1.2,0,0,
[04/28/2026-13:32:00] [I],TensorRTLayer,1.8,0,0,
[04/28/2026-13:32:00] [I],TensorRTLayer,2.2,0,0,
[04/28/2026-13:32:00] [I],TensorRTLayer,0.9,0,0,
[04/28/2026-13:32:00] [I],TensorRTLayer,0.9,0,0,
[04/28/2026-13:32:00] [I],TensorRTLayer,0.9,0,0,
[04/28/2026-13:32:00] [I],TensorRTLayer,0.6,0,0,
[04/28/2026-13:32:00] [I],TensorRTLayer,0.9,0,0,
[04/28/2026-13:32:00] [I],TensorRTLayer,0.9,0,0,
[04/28/2026-13:32:00] [I],TensorRTLayer,1.2,0,0,
[04/28/2026-13:32:00] [I],TensorRTLayer,1.7,0,0,
[04/28/2026-13:32:00] [I],TensorRTLayer,1.2,0,0,
[04/28/2026-13:32:00] [I],TensorRTLayer,0.6,0,0,
[04/28/2026-13:32:00] [I],TensorRTLayer,0.9,0,0,
[04/28/2026-13:32:00] [I],TensorRTLayer,0.9,0,0,
[04/28/2026-13:32:00] [I],TensorRTLayer,1.2,0,0,
[04/28/2026-13:32:00] [I],TensorRTLayer,1.7,0,0,
[04/28/2026-13:32:00] [I],TensorRTLayer,1.2,0,0,
[04/28/2026-13:32:00] [I],TensorRTLayer,0.6,0,0,
[04/28/2026-13:32:00] [I],TensorRTLayer,0.9,0,0,
[04/28/2026-13:32:00] [I],TensorRTLayer,0.9,0,0,
[04/28/2026-13:32:00] [I],TensorRTLayer,1.2,0,0,
[04/28/2026-13:32:00] [I],TensorRTLayer,1.7,0,0,
[04/28/2026-13:32:00] [I],TensorRTLayer,1.2,0,0,
[04/28/2026-13:32:00] [I],TensorRTLayer,0.6,0,0,
[04/28/2026-13:32:00] [I],TensorRTLayer,6.6,0,0,
[04/28/2026-13:32:00] [I],TensorRTLayer,0.8,0,0,
[04/28/2026-13:32:00] [I],TensorRTLayer,2.1,0,0,
[04/28/2026-13:32:00] [I],TensorRTLayer,100.0,0,0,
