layer_name,layer_type,params,input_shape,output_shape,mean_ms,std_ms,min_ms,max_ms
features.0.0,Conv2d,432,"[1, 3, 224, 224]","[1, 16, 112, 112]",1.4299,0.1691,1.3481,2.1577
features.0.1,BatchNorm2d,32,"[1, 16, 112, 112]","[1, 16, 112, 112]",0.549,0.1021,0.4911,0.9634
features.0.2,Hardswish,0,"[1, 16, 112, 112]","[1, 16, 112, 112]",0.3233,0.0692,0.2944,0.6185
features.1.block.0.0,Conv2d,144,"[1, 16, 112, 112]","[1, 16, 56, 56]",0.5246,0.0346,0.473,0.6272
features.1.block.0.1,BatchNorm2d,32,"[1, 16, 56, 56]","[1, 16, 56, 56]",0.4233,0.0218,0.4033,0.4818
features.1.block.0.2,ReLU,0,"[1, 16, 56, 56]","[1, 16, 56, 56]",0.2979,0.0216,0.2779,0.3505
features.1.block.1.avgpool,AdaptiveAvgPool2d,0,"[1, 16, 56, 56]","[1, 16, 1, 1]",0.3577,0.0219,0.3354,0.4115
features.1.block.1.fc1,Conv2d,136,"[1, 16, 1, 1]","[1, 8, 1, 1]",0.8292,0.0629,0.7811,1.0619
features.1.block.1.fc2,Conv2d,144,"[1, 8, 1, 1]","[1, 16, 1, 1]",0.6779,0.0546,0.6329,0.8692
features.1.block.1.activation,ReLU,0,"[1, 8, 1, 1]","[1, 8, 1, 1]",0.3179,0.0284,0.298,0.3875
features.1.block.1.scale_activation,Hardsigmoid,0,"[1, 16, 1, 1]","[1, 16, 1, 1]",0.3053,0.0228,0.2894,0.3831
features.1.block.2.0,Conv2d,256,"[1, 16, 56, 56]","[1, 16, 56, 56]",0.6919,0.0659,0.6555,0.9138
features.1.block.2.1,BatchNorm2d,32,"[1, 16, 56, 56]","[1, 16, 56, 56]",0.4317,0.049,0.403,0.5776
features.2.block.0.0,Conv2d,1152,"[1, 16, 56, 56]","[1, 72, 56, 56]",0.8568,0.0631,0.816,1.0369
features.2.block.0.1,BatchNorm2d,144,"[1, 72, 56, 56]","[1, 72, 56, 56]",0.4268,0.045,0.3906,0.5419
features.2.block.0.2,ReLU,0,"[1, 72, 56, 56]","[1, 72, 56, 56]",0.2881,0.0216,0.2712,0.3554
features.2.block.1.0,Conv2d,648,"[1, 72, 56, 56]","[1, 72, 28, 28]",0.4926,0.0358,0.4703,0.6202
features.2.block.1.1,BatchNorm2d,144,"[1, 72, 28, 28]","[1, 72, 28, 28]",0.405,0.0367,0.3762,0.517
features.2.block.1.2,ReLU,0,"[1, 72, 28, 28]","[1, 72, 28, 28]",0.2757,0.0229,0.2558,0.3251
features.2.block.2.0,Conv2d,1728,"[1, 72, 28, 28]","[1, 24, 28, 28]",0.6034,0.0434,0.5643,0.6922
features.2.block.2.1,BatchNorm2d,48,"[1, 24, 28, 28]","[1, 24, 28, 28]",0.3967,0.0412,0.374,0.5671
features.3.block.0.0,Conv2d,2112,"[1, 24, 28, 28]","[1, 88, 28, 28]",0.5403,0.053,0.5021,0.708
features.3.block.0.1,BatchNorm2d,176,"[1, 88, 28, 28]","[1, 88, 28, 28]",0.3882,0.0221,0.3722,0.4526
features.3.block.0.2,ReLU,0,"[1, 88, 28, 28]","[1, 88, 28, 28]",0.2657,0.0108,0.2568,0.3055
features.3.block.1.0,Conv2d,792,"[1, 88, 28, 28]","[1, 88, 28, 28]",0.5293,0.0281,0.5091,0.584
features.3.block.1.1,BatchNorm2d,176,"[1, 88, 28, 28]","[1, 88, 28, 28]",0.3851,0.0161,0.3714,0.4324
features.3.block.1.2,ReLU,0,"[1, 88, 28, 28]","[1, 88, 28, 28]",0.2674,0.0194,0.2542,0.3262
features.3.block.2.0,Conv2d,2112,"[1, 88, 28, 28]","[1, 24, 28, 28]",0.5874,0.0319,0.5519,0.658
