layer_name,layer_type,params,input_shape,output_shape,mean_ms,std_ms,min_ms,max_ms
layer4.0.conv2,Conv2d,2359296,"[1, 512, 14, 14]","[1, 512, 7, 7]",5.6004,0.0647,5.5564,5.8345
layer3.0.conv2,Conv2d,589824,"[1, 256, 28, 28]","[1, 256, 14, 14]",5.0913,0.0537,5.0478,5.3045
layer4.2.conv2,Conv2d,2359296,"[1, 512, 7, 7]","[1, 512, 7, 7]",4.9846,0.1219,4.9161,5.4695
layer4.1.conv2,Conv2d,2359296,"[1, 512, 7, 7]","[1, 512, 7, 7]",4.9784,0.0589,4.9257,5.1912
layer2.0.conv2,Conv2d,147456,"[1, 128, 56, 56]","[1, 128, 28, 28]",4.5553,0.0267,4.5178,4.6438
layer4.0.downsample.0,Conv2d,2097152,"[1, 1024, 14, 14]","[1, 2048, 7, 7]",4.2607,0.0485,4.2211,4.4255
layer3.0.downsample.0,Conv2d,524288,"[1, 512, 28, 28]","[1, 1024, 14, 14]",3.8435,0.0429,3.8084,4.0227
layer4.0.conv1,Conv2d,524288,"[1, 1024, 14, 14]","[1, 512, 14, 14]",3.7314,0.0806,3.6832,3.9811
layer3.0.conv1,Conv2d,131072,"[1, 512, 28, 28]","[1, 256, 28, 28]",3.3856,0.0401,3.3594,3.5463
layer2.0.downsample.0,Conv2d,131072,"[1, 256, 56, 56]","[1, 512, 28, 28]",3.158,0.0367,3.1158,3.2488
conv1,Conv2d,9408,"[1, 3, 224, 224]","[1, 64, 112, 112]",3.0493,0.0554,2.9675,3.1386
layer2.0.conv1,Conv2d,32768,"[1, 256, 56, 56]","[1, 128, 56, 56]",2.4335,0.0328,2.412,2.5678
layer4.1.conv1,Conv2d,1048576,"[1, 2048, 7, 7]","[1, 512, 7, 7]",2.3866,0.0534,2.3557,2.5452
layer4.2.conv1,Conv2d,1048576,"[1, 2048, 7, 7]","[1, 512, 7, 7]",2.3857,0.065,2.3519,2.6495
layer4.2.conv3,Conv2d,1048576,"[1, 512, 7, 7]","[1, 2048, 7, 7]",2.304,0.051,2.2656,2.4587
layer4.0.conv3,Conv2d,1048576,"[1, 512, 7, 7]","[1, 2048, 7, 7]",2.299,0.0726,2.2584,2.5307
layer4.1.conv3,Conv2d,1048576,"[1, 512, 7, 7]","[1, 2048, 7, 7]",2.2976,0.0477,2.2709,2.4745
layer3.3.conv2,Conv2d,589824,"[1, 256, 14, 14]","[1, 256, 14, 14]",2.2419,0.0933,2.1849,2.6193
layer3.4.conv2,Conv2d,589824,"[1, 256, 14, 14]","[1, 256, 14, 14]",2.2354,0.0431,2.1877,2.3586
layer3.1.conv2,Conv2d,589824,"[1, 256, 14, 14]","[1, 256, 14, 14]",2.2343,0.0358,2.2043,2.3817
layer3.2.conv2,Conv2d,589824,"[1, 256, 14, 14]","[1, 256, 14, 14]",2.2263,0.0452,2.1858,2.3614
layer3.5.conv2,Conv2d,589824,"[1, 256, 14, 14]","[1, 256, 14, 14]",2.2184,0.037,2.1852,2.356
layer3.4.conv1,Conv2d,262144,"[1, 1024, 14, 14]","[1, 256, 14, 14]",2.1106,0.0905,2.0603,2.4113
layer3.4.conv3,Conv2d,262144,"[1, 256, 14, 14]","[1, 1024, 14, 14]",2.1092,0.051,2.074,2.2646
layer3.1.conv3,Conv2d,262144,"[1, 256, 14, 14]","[1, 1024, 14, 14]",2.1047,0.0392,2.0749,2.2524
layer3.3.conv3,Conv2d,262144,"[1, 256, 14, 14]","[1, 1024, 14, 14]",2.1035,0.0492,2.048,2.2403
layer3.0.conv3,Conv2d,262144,"[1, 256, 14, 14]","[1, 1024, 14, 14]",2.1021,0.0423,2.0702,2.2673
layer3.2.conv3,Conv2d,262144,"[1, 256, 14, 14]","[1, 1024, 14, 14]",2.0991,0.0428,2.0662,2.2569
layer3.5.conv3,Conv2d,262144,"[1, 256, 14, 14]","[1, 1024, 14, 14]",2.0945,0.0399,2.065,2.2561
layer3.2.conv1,Conv2d,262144,"[1, 1024, 14, 14]","[1, 256, 14, 14]",2.0923,0.0437,2.0649,2.2679
layer3.1.conv1,Conv2d,262144,"[1, 1024, 14, 14]","[1, 256, 14, 14]",2.0899,0.0374,2.0598,2.234
layer3.3.conv1,Conv2d,262144,"[1, 1024, 14, 14]","[1, 256, 14, 14]",2.0889,0.0379,2.0634,2.2322
layer3.5.conv1,Conv2d,262144,"[1, 1024, 14, 14]","[1, 256, 14, 14]",2.0834,0.0417,2.0543,2.2466
layer1.1.conv1,Conv2d,16384,"[1, 256, 56, 56]","[1, 64, 56, 56]",1.9558,0.0468,1.9182,2.1217
layer2.1.conv1,Conv2d,65536,"[1, 512, 28, 28]","[1, 128, 28, 28]",1.9432,0.0217,1.9236,2.0023
layer2.2.conv1,Conv2d,65536,"[1, 512, 28, 28]","[1, 128, 28, 28]",1.9386,0.0314,1.9144,2.064
layer2.3.conv1,Conv2d,65536,"[1, 512, 28, 28]","[1, 128, 28, 28]",1.9367,0.031,1.9106,2.0509
layer1.2.conv1,Conv2d,16384,"[1, 256, 56, 56]","[1, 64, 56, 56]",1.9358,0.0452,1.9071,2.1146
layer2.1.conv2,Conv2d,147456,"[1, 128, 28, 28]","[1, 128, 28, 28]",1.9354,0.0242,1.9036,1.9832
layer2.2.conv2,Conv2d,147456,"[1, 128, 28, 28]","[1, 128, 28, 28]",1.9237,0.0373,1.8853,2.0448
layer2.3.conv2,Conv2d,147456,"[1, 128, 28, 28]","[1, 128, 28, 28]",1.9204,0.0532,1.8847,2.102
layer1.0.conv2,Conv2d,36864,"[1, 64, 56, 56]","[1, 64, 56, 56]",1.9132,0.0391,1.872,2.042
layer1.1.conv2,Conv2d,36864,"[1, 64, 56, 56]","[1, 64, 56, 56]",1.8919,0.0604,1.8452,2.1374
layer1.2.conv2,Conv2d,36864,"[1, 64, 56, 56]","[1, 64, 56, 56]",1.8647,0.0485,1.8292,2.0466
layer1.0.conv3,Conv2d,16384,"[1, 64, 56, 56]","[1, 256, 56, 56]",1.7848,0.0345,1.7654,1.9223
layer1.0.downsample.0,Conv2d,16384,"[1, 64, 56, 56]","[1, 256, 56, 56]",1.783,0.0535,1.7504,1.9983
layer1.1.conv3,Conv2d,16384,"[1, 64, 56, 56]","[1, 256, 56, 56]",1.7558,0.0447,1.7227,1.9314
layer1.2.conv3,Conv2d,16384,"[1, 64, 56, 56]","[1, 256, 56, 56]",1.7463,0.0488,1.7153,1.9459
layer2.1.conv3,Conv2d,65536,"[1, 128, 28, 28]","[1, 512, 28, 28]",1.6951,0.0313,1.6607,1.7901
layer2.2.conv3,Conv2d,65536,"[1, 128, 28, 28]","[1, 512, 28, 28]",1.6843,0.0349,1.6589,1.8156
layer2.3.conv3,Conv2d,65536,"[1, 128, 28, 28]","[1, 512, 28, 28]",1.6808,0.0457,1.6476,1.83
layer2.0.conv3,Conv2d,65536,"[1, 128, 28, 28]","[1, 512, 28, 28]",1.6804,0.0282,1.6564,1.751
maxpool,MaxPool2d,0,"[1, 64, 112, 112]","[1, 64, 56, 56]",1.5454,0.0115,1.5371,1.5932
fc,Linear,2049000,"[1, 2048]","[1, 1000]",1.0781,0.0266,1.0423,1.1467
layer1.0.conv1,Conv2d,4096,"[1, 64, 56, 56]","[1, 64, 56, 56]",1.0744,0.0407,1.033,1.211
bn1,BatchNorm2d,128,"[1, 64, 112, 112]","[1, 64, 112, 112]",0.8713,0.032,0.8442,0.9651
