layer_name,layer_type,params,input_shape,output_shape,mean_ms,std_ms,min_ms,max_ms
conv5.0,Conv2d,475136,"[1, 464, 7, 7]","[1, 1024, 7, 7]",1.7519,0.0419,1.7264,1.9225
conv1.0,Conv2d,648,"[1, 3, 224, 224]","[1, 24, 112, 112]",1.3746,0.0249,1.3474,1.44
stage4.1.branch2.0,Conv2d,53824,"[1, 232, 7, 7]","[1, 232, 7, 7]",1.0696,0.0339,1.0334,1.1691
stage3.1.branch2.0,Conv2d,13456,"[1, 116, 14, 14]","[1, 116, 14, 14]",1.0681,0.0439,1.0288,1.2327
stage4.2.branch2.0,Conv2d,53824,"[1, 232, 7, 7]","[1, 232, 7, 7]",1.0531,0.0221,1.0199,1.1063
stage4.3.branch2.0,Conv2d,53824,"[1, 232, 7, 7]","[1, 232, 7, 7]",1.0496,0.0484,1.0152,1.2244
stage3.5.branch2.0,Conv2d,13456,"[1, 116, 14, 14]","[1, 116, 14, 14]",1.0459,0.0439,1.0119,1.1966
stage3.2.branch2.0,Conv2d,13456,"[1, 116, 14, 14]","[1, 116, 14, 14]",1.0397,0.027,1.0161,1.1154
stage3.3.branch2.0,Conv2d,13456,"[1, 116, 14, 14]","[1, 116, 14, 14]",1.0383,0.037,1.0096,1.1791
stage3.6.branch2.0,Conv2d,13456,"[1, 116, 14, 14]","[1, 116, 14, 14]",1.0369,0.0349,1.0041,1.1503
stage3.4.branch2.0,Conv2d,13456,"[1, 116, 14, 14]","[1, 116, 14, 14]",1.033,0.0363,1.0083,1.1526
stage3.7.branch2.0,Conv2d,13456,"[1, 116, 14, 14]","[1, 116, 14, 14]",1.0322,0.0208,1.0059,1.0851
stage2.1.branch2.0,Conv2d,3364,"[1, 58, 28, 28]","[1, 58, 28, 28]",1.0305,0.0163,1.015,1.0909
stage2.2.branch2.0,Conv2d,3364,"[1, 58, 28, 28]","[1, 58, 28, 28]",0.9934,0.0461,0.9505,1.1461
stage2.3.branch2.0,Conv2d,3364,"[1, 58, 28, 28]","[1, 58, 28, 28]",0.9751,0.0334,0.9355,1.0182
fc,Linear,1025000,"[1, 1024]","[1, 1000]",0.9121,0.0261,0.8907,0.992
stage4.0.branch2.0,Conv2d,53824,"[1, 232, 14, 14]","[1, 232, 14, 14]",0.8598,0.0102,0.8486,0.8892
stage3.0.branch2.0,Conv2d,13456,"[1, 116, 28, 28]","[1, 116, 28, 28]",0.8585,0.0183,0.8401,0.9074
stage3.0.branch1.0,Conv2d,1044,"[1, 116, 28, 28]","[1, 116, 14, 14]",0.8249,0.0253,0.7979,0.8855
stage4.0.branch1.0,Conv2d,2088,"[1, 232, 14, 14]","[1, 232, 7, 7]",0.8158,0.0239,0.7879,0.8754
maxpool,MaxPool2d,0,"[1, 24, 112, 112]","[1, 24, 56, 56]",0.7469,0.029,0.7327,0.8538
stage2.0.branch2.0,Conv2d,1392,"[1, 24, 56, 56]","[1, 58, 56, 56]",0.6902,0.0081,0.6774,0.7178
conv1.1,BatchNorm2d,48,"[1, 24, 112, 112]","[1, 24, 112, 112]",0.5658,0.0278,0.5061,0.6462
stage3.0.branch1.2,Conv2d,13456,"[1, 116, 14, 14]","[1, 116, 14, 14]",0.5547,0.014,0.5418,0.6048
stage4.0.branch1.2,Conv2d,53824,"[1, 232, 7, 7]","[1, 232, 7, 7]",0.5518,0.0335,0.5224,0.6679
stage3.0.branch2.5,Conv2d,13456,"[1, 116, 14, 14]","[1, 116, 14, 14]",0.5406,0.0243,0.516,0.592
stage3.3.branch2.5,Conv2d,13456,"[1, 116, 14, 14]","[1, 116, 14, 14]",0.537,0.051,0.5116,0.7536
stage3.1.branch2.5,Conv2d,13456,"[1, 116, 14, 14]","[1, 116, 14, 14]",0.5352,0.0109,0.5243,0.5686
stage3.2.branch2.5,Conv2d,13456,"[1, 116, 14, 14]","[1, 116, 14, 14]",0.5349,0.0178,0.5158,0.5838
stage4.0.branch2.5,Conv2d,53824,"[1, 232, 7, 7]","[1, 232, 7, 7]",0.5332,0.0254,0.5113,0.6066
stage3.7.branch2.5,Conv2d,13456,"[1, 116, 14, 14]","[1, 116, 14, 14]",0.5321,0.0096,0.5174,0.5504
stage4.1.branch2.5,Conv2d,53824,"[1, 232, 7, 7]","[1, 232, 7, 7]",0.5294,0.0183,0.5142,0.596
stage3.4.branch2.5,Conv2d,13456,"[1, 116, 14, 14]","[1, 116, 14, 14]",0.5269,0.0221,0.5087,0.5951
stage3.5.branch2.5,Conv2d,13456,"[1, 116, 14, 14]","[1, 116, 14, 14]",0.5261,0.0162,0.5121,0.5648
stage4.3.branch2.5,Conv2d,53824,"[1, 232, 7, 7]","[1, 232, 7, 7]",0.5256,0.0177,0.5089,0.5883
stage4.2.branch2.5,Conv2d,53824,"[1, 232, 7, 7]","[1, 232, 7, 7]",0.5247,0.0173,0.5135,0.5894
stage3.6.branch2.5,Conv2d,13456,"[1, 116, 14, 14]","[1, 116, 14, 14]",0.518,0.0062,0.5086,0.5326
stage2.0.branch1.2,Conv2d,1392,"[1, 24, 28, 28]","[1, 58, 28, 28]",0.514,0.0301,0.4935,0.5791
stage2.1.branch2.5,Conv2d,3364,"[1, 58, 28, 28]","[1, 58, 28, 28]",0.4939,0.0339,0.4354,0.5618
stage2.3.branch2.5,Conv2d,3364,"[1, 58, 28, 28]","[1, 58, 28, 28]",0.489,0.0279,0.4315,0.5295
stage2.0.branch2.5,Conv2d,3364,"[1, 58, 28, 28]","[1, 58, 28, 28]",0.4863,0.0342,0.4399,0.5319
stage2.2.branch2.5,Conv2d,3364,"[1, 58, 28, 28]","[1, 58, 28, 28]",0.4837,0.0317,0.4318,0.5175
stage2.0.branch1.0,Conv2d,216,"[1, 24, 56, 56]","[1, 24, 28, 28]",0.4302,0.0239,0.4125,0.4906
stage3.0.branch2.1,BatchNorm2d,232,"[1, 116, 28, 28]","[1, 116, 28, 28]",0.4194,0.0232,0.3838,0.4866
stage2.0.branch2.3,Conv2d,522,"[1, 58, 56, 56]","[1, 58, 28, 28]",0.414,0.0107,0.4023,0.4571
stage2.1.branch2.3,Conv2d,522,"[1, 58, 28, 28]","[1, 58, 28, 28]",0.4127,0.0218,0.3625,0.469
stage2.0.branch1.3,BatchNorm2d,116,"[1, 58, 28, 28]","[1, 58, 28, 28]",0.4115,0.0153,0.3965,0.4701
stage2.2.branch2.3,Conv2d,522,"[1, 58, 28, 28]","[1, 58, 28, 28]",0.4106,0.0199,0.3938,0.4748
stage2.3.branch2.3,Conv2d,522,"[1, 58, 28, 28]","[1, 58, 28, 28]",0.4057,0.0124,0.3903,0.4551
stage2.0.branch2.1,BatchNorm2d,116,"[1, 58, 56, 56]","[1, 58, 56, 56]",0.4023,0.0199,0.3908,0.4664
stage2.0.branch1.1,BatchNorm2d,48,"[1, 24, 28, 28]","[1, 24, 28, 28]",0.4014,0.0044,0.3943,0.4108
stage2.0.branch2.4,BatchNorm2d,116,"[1, 58, 28, 28]","[1, 58, 28, 28]",0.4008,0.0275,0.378,0.4625
stage2.1.branch2.1,BatchNorm2d,116,"[1, 58, 28, 28]","[1, 58, 28, 28]",0.4007,0.0219,0.3857,0.4663
stage2.2.branch2.6,BatchNorm2d,116,"[1, 58, 28, 28]","[1, 58, 28, 28]",0.4005,0.0278,0.3768,0.4509
stage3.3.branch2.4,BatchNorm2d,232,"[1, 116, 14, 14]","[1, 116, 14, 14]",0.398,0.0684,0.3716,0.6891
stage2.2.branch2.4,BatchNorm2d,116,"[1, 58, 28, 28]","[1, 58, 28, 28]",0.3972,0.0251,0.3759,0.4475
conv5.1,BatchNorm2d,2048,"[1, 1024, 7, 7]","[1, 1024, 7, 7]",0.397,0.0201,0.3837,0.4511
stage2.0.branch2.6,BatchNorm2d,116,"[1, 58, 28, 28]","[1, 58, 28, 28]",0.3953,0.0251,0.3812,0.4883
stage3.1.branch2.1,BatchNorm2d,232,"[1, 116, 14, 14]","[1, 116, 14, 14]",0.3946,0.02,0.3736,0.4383
stage4.1.branch2.1,BatchNorm2d,464,"[1, 232, 7, 7]","[1, 232, 7, 7]",0.3938,0.0245,0.3743,0.4559
stage2.1.branch2.4,BatchNorm2d,116,"[1, 58, 28, 28]","[1, 58, 28, 28]",0.3917,0.0135,0.3797,0.4459
stage4.0.branch2.6,BatchNorm2d,464,"[1, 232, 7, 7]","[1, 232, 7, 7]",0.3914,0.0221,0.3703,0.4369
stage3.3.branch2.6,BatchNorm2d,232,"[1, 116, 14, 14]","[1, 116, 14, 14]",0.3913,0.0241,0.3727,0.463
stage2.1.branch2.6,BatchNorm2d,116,"[1, 58, 28, 28]","[1, 58, 28, 28]",0.3901,0.0168,0.3771,0.4539
stage4.0.branch1.3,BatchNorm2d,464,"[1, 232, 7, 7]","[1, 232, 7, 7]",0.389,0.0133,0.3769,0.4283
stage4.0.branch2.1,BatchNorm2d,464,"[1, 232, 14, 14]","[1, 232, 14, 14]",0.3874,0.016,0.3744,0.4518
stage2.3.branch2.4,BatchNorm2d,116,"[1, 58, 28, 28]","[1, 58, 28, 28]",0.3869,0.0098,0.3775,0.4127
stage4.1.branch2.4,BatchNorm2d,464,"[1, 232, 7, 7]","[1, 232, 7, 7]",0.3864,0.0211,0.3719,0.4727
stage3.0.branch1.3,BatchNorm2d,232,"[1, 116, 14, 14]","[1, 116, 14, 14]",0.386,0.0115,0.378,0.4347
stage2.3.branch2.6,BatchNorm2d,116,"[1, 58, 28, 28]","[1, 58, 28, 28]",0.3856,0.0122,0.3781,0.4356
stage3.1.branch2.6,BatchNorm2d,232,"[1, 116, 14, 14]","[1, 116, 14, 14]",0.3856,0.0115,0.3741,0.4149
stage2.2.branch2.1,BatchNorm2d,116,"[1, 58, 28, 28]","[1, 58, 28, 28]",0.3855,0.0046,0.3794,0.4024
stage4.0.branch2.4,BatchNorm2d,464,"[1, 232, 7, 7]","[1, 232, 7, 7]",0.385,0.0261,0.3667,0.4538
stage3.1.branch2.4,BatchNorm2d,232,"[1, 116, 14, 14]","[1, 116, 14, 14]",0.3848,0.0136,0.3724,0.4167
stage4.3.branch2.1,BatchNorm2d,464,"[1, 232, 7, 7]","[1, 232, 7, 7]",0.3848,0.0239,0.3689,0.4627
stage2.3.branch2.1,BatchNorm2d,116,"[1, 58, 28, 28]","[1, 58, 28, 28]",0.3847,0.0142,0.3719,0.4421
stage3.5.branch2.1,BatchNorm2d,232,"[1, 116, 14, 14]","[1, 116, 14, 14]",0.3846,0.0322,0.3714,0.5217
stage3.0.branch1.1,BatchNorm2d,232,"[1, 116, 14, 14]","[1, 116, 14, 14]",0.3843,0.0199,0.3696,0.4319
stage3.0.branch2.4,BatchNorm2d,232,"[1, 116, 14, 14]","[1, 116, 14, 14]",0.3837,0.0151,0.3731,0.4368
stage4.2.branch2.1,BatchNorm2d,464,"[1, 232, 7, 7]","[1, 232, 7, 7]",0.3836,0.016,0.3712,0.441
stage3.7.branch2.1,BatchNorm2d,232,"[1, 116, 14, 14]","[1, 116, 14, 14]",0.3832,0.0132,0.3699,0.4118
stage4.1.branch2.6,BatchNorm2d,464,"[1, 232, 7, 7]","[1, 232, 7, 7]",0.3831,0.0137,0.3717,0.4159
stage3.0.branch2.6,BatchNorm2d,232,"[1, 116, 14, 14]","[1, 116, 14, 14]",0.383,0.012,0.3696,0.4263
stage3.2.branch2.1,BatchNorm2d,232,"[1, 116, 14, 14]","[1, 116, 14, 14]",0.3824,0.0137,0.3738,0.4325
stage3.3.branch2.1,BatchNorm2d,232,"[1, 116, 14, 14]","[1, 116, 14, 14]",0.3814,0.012,0.3709,0.4265
