layer_name,layer_type,params,input_shape,output_shape,mean_ms,std_ms,min_ms,max_ms
forward,operator,0,[],[],157.2916,7.5664,153.854,189.851
aten::split,operator,0,[],[],1.2216,2.5401,0.369,16.858
aten::pad,operator,0,[],[],1.1685,0.8364,0.081,2.549
aten::constant_pad_nd,operator,0,[],[],1.1213,0.8425,0.054,2.544
aten::_conv_depthwise2d,operator,0,[],[],1.1121,0.7541,0.277,3.191
aten::_convolution,operator,0,[],[],1.1061,0.6744,0.209,8.324
aten::batch_norm,operator,0,[],[],1.0417,0.0166,1.018,1.08
aten::upsample_bilinear2d,operator,0,[],[],0.9421,0.0067,0.938,0.969
aten::_batch_norm_impl_index,operator,0,[],[],0.9284,0.0164,0.906,0.966
aten::cudnn_batch_norm,operator,0,[],[],0.8135,0.0158,0.793,0.85
aten::cudnn_convolution,operator,0,[],[],0.8058,0.4919,0.179,2.666
aten::contiguous,operator,0,[],[],0.775,0.0599,0.754,1.032
aten::unbind,operator,0,[],[],0.6995,0.229,0.008,2.263
aten::clone,operator,0,[],[],0.4953,0.0782,0.436,0.914
aten::copy_,operator,0,[],[],0.3055,0.4589,0.03,2.048
aten::hardtanh,operator,0,[],[],0.2995,0.2126,0.015,2.947
aten::item,operator,0,[],[],0.2268,0.0446,0.202,1.6
aten::cat,operator,0,[],[],0.2026,0.0587,0.143,0.298
aten::clamp,operator,0,[],[],0.2001,0.1306,0.014,0.845
aten::sigmoid,operator,0,[],[],0.1912,0.0153,0.184,0.252
aten::fill_,operator,0,[],[],0.1675,0.1655,0.01,0.485
aten::add_,operator,0,[],[],0.1661,0.2667,0.007,1.808
aten::narrow,operator,0,[],[],0.1549,0.1228,0.003,0.384
aten::reshape,operator,0,[],[],0.1491,0.3798,0.001,11.223
aten::select,operator,0,[],[],0.1374,0.0396,0.001,0.343
aten::permute,operator,0,[],[],0.1342,0.0552,0.001,0.219
aten::squeeze,operator,0,[],[],0.1297,0.0527,0.001,0.181
aten::_local_scalar_dense,operator,0,[],[],0.1269,0.044,0.109,1.538
aten::unsqueeze,operator,0,[],[],0.1263,0.0564,0.001,0.183
aten::add,operator,0,[],[],0.0954,0.045,0.032,0.181
aten::slice,operator,0,[],[],0.0938,0.0755,0.001,0.233
aten::empty_like,operator,0,[],[],0.0761,0.111,0.001,2.601
aten::view,operator,0,[],[],0.0637,0.003,0.06,0.072
aten::_unsafe_view,operator,0,[],[],0.0498,0.0132,0.006,0.086
aten::as_strided,operator,0,[],[],0.0435,0.0188,0.0,0.229
aten::empty,operator,0,[],[],0.0431,0.0293,0.0,0.187
aten::resize_,operator,0,[],[],0.0352,0.0313,0.0,0.097
aten::empty_strided,operator,0,[],[],0.0225,0.0929,0.0,2.599
aten::to,operator,0,[],[],0.0219,0.0235,0.0,0.083
aten::_reshape_alias,operator,0,[],[],0.0159,0.0256,0.0,0.085
