layer_name,layer_type,params,input_shape,output_shape,mean_ms,std_ms,min_ms,max_ms
forward,operator,0,[],[],127.319,3.613,126.256,143.057
aten::_convolution,operator,0,[],[],1.5837,1.1588,0.13,6.647
aten::softmax,operator,0,[],[],1.3941,0.0428,1.356,1.541
aten::_softmax,operator,0,[],[],1.3857,0.0433,1.346,1.535
aten::cudnn_convolution,operator,0,[],[],1.3746,1.0261,0.098,4.967
aten::upsample_nearest2d,operator,0,[],[],0.7736,0.2453,0.527,1.02
aten::cat,operator,0,[],[],0.5918,0.4397,0.078,1.473
aten::max_pool2d,operator,0,[],[],0.5799,0.049,0.572,0.956
aten::max_pool2d_with_indices,operator,0,[],[],0.575,0.0221,0.571,0.745
aten::contiguous,operator,0,[],[],0.5353,0.0131,0.526,0.586
aten::clone,operator,0,[],[],0.534,0.013,0.524,0.584
aten::copy_,operator,0,[],[],0.5258,0.0131,0.516,0.576
aten::sigmoid,operator,0,[],[],0.357,0.0019,0.354,0.361
aten::add_,operator,0,[],[],0.2055,0.2192,0.026,1.376
aten::silu_,operator,0,[],[],0.1874,0.1433,0.063,0.533
aten::silu,operator,0,[],[],0.1658,0.5707,0.018,16.055
aten::mul,operator,0,[],[],0.0376,0.0012,0.036,0.039
chunk,operator,0,[],[],0.01,0.0,0.01,0.01
aten::chunk,operator,0,[],[],0.009,0.0,0.009,0.009
aten::split,operator,0,[],[],0.008,0.0,0.008,0.008
aten::split_with_sizes,operator,0,[],[],0.0033,0.0007,0.003,0.006
aten::narrow,operator,0,[],[],0.003,0.0,0.003,0.003
aten::empty,operator,0,[],[],0.0017,0.0146,0.0,0.181
aten::permute,operator,0,[],[],0.0017,0.0011,0.001,0.004
aten::reshape,operator,0,[],[],0.0012,0.0006,0.001,0.005
aten::transpose,operator,0,[],[],0.001,0.0,0.001,0.001
aten::empty_like,operator,0,[],[],0.001,0.0,0.001,0.001
aten::slice,operator,0,[],[],0.001,0.0,0.001,0.001
aten::_reshape_alias,operator,0,[],[],0.0,0.0003,0.0,0.004
aten::as_strided,operator,0,[],[],0.0,0.0002,0.0,0.003
aten::view,operator,0,[],[],0.0,0.0,0.0,0.0
