model,runtime,rank,layer_name,backend,granularity,mean_ms,std_ms,min_ms,max_ms,samples,percent_total_ms,cumulative_percent_ms
yolov8n,onnxrt_cuda,1,session_initialization,onnxruntime,onnx_node,5088.151,0.0,5088.151,5088.151,1,86.894903,86.894903
yolov8n,onnxrt_cuda,2,model_run,onnxruntime,onnx_node,250.384483,822.372181,142.369,6567.144,60,4.27604,91.170942
yolov8n,onnxrt_cuda,3,model_loading_uri,onnxruntime,onnx_node,189.023,0.0,189.023,189.023,1,3.228115,94.399057
yolov8n,onnxrt_cuda,4,SequentialExecutor::Execute,onnxruntime,onnx_node,168.772183,829.064501,54.272,6536.901,60,2.882273,97.28133
yolov8n,onnxrt_cuda,5,Conv:/model.0/conv/Conv_kernel_time,onnxruntime,onnx_node,48.90275,370.164213,0.521,2892.188,60,0.835156,98.116486
yolov8n,onnxrt_cuda,6,Conv:/model.1/conv/Conv_kernel_time,onnxruntime,onnx_node,3.5105,23.503734,0.426,184.046,60,0.059952,98.176438
yolov8n,onnxrt_cuda,7,Conv:/model.22/cv3.0/cv3.0.1/conv/Conv_kernel_time,onnxruntime,onnx_node,2.783267,17.858149,0.342,139.953,60,0.047532,98.223971
yolov8n,onnxrt_cuda,8,Conv:/model.3/conv/Conv_kernel_time,onnxruntime,onnx_node,2.666433,16.966851,0.379,132.991,60,0.045537,98.269508
yolov8n,onnxrt_cuda,9,Conv:/model.22/cv3.0/cv3.0.0/conv/Conv_kernel_time,onnxruntime,onnx_node,2.312283,14.811558,0.345,116.081,60,0.039489,98.308997
yolov8n,onnxrt_cuda,10,Conv:/model.22/cv2.0/cv2.0.1/conv/Conv_kernel_time,onnxruntime,onnx_node,2.164517,13.645047,0.338,106.973,60,0.036965,98.345962
yolov8n,onnxrt_cuda,11,Conv:/model.22/cv2.0/cv2.0.0/conv/Conv_kernel_time,onnxruntime,onnx_node,2.156917,13.145078,0.345,103.124,60,0.036836,98.382798
yolov8n,onnxrt_cuda,12,Conv:/model.2/m.0/cv1/conv/Conv_kernel_time,onnxruntime,onnx_node,1.665133,9.43808,0.348,74.16,60,0.028437,98.411235
yolov8n,onnxrt_cuda,13,Conv:/model.2/m.0/cv2/conv/Conv_kernel_time,onnxruntime,onnx_node,1.624217,9.531456,0.349,74.835,60,0.027738,98.438973
yolov8n,onnxrt_cuda,14,Conv:/model.16/conv/Conv_kernel_time,onnxruntime,onnx_node,1.573683,8.621154,0.386,67.792,60,0.026875,98.465848
yolov8n,onnxrt_cuda,15,Conv:/model.22/cv3.1/cv3.1.1/conv/Conv_kernel_time,onnxruntime,onnx_node,1.552817,8.86271,0.335,69.627,60,0.026519,98.492367
yolov8n,onnxrt_cuda,16,Conv:/model.18/m.0/cv2/conv/Conv_kernel_time,onnxruntime,onnx_node,1.476617,8.056244,0.34,63.357,60,0.025218,98.517584
yolov8n,onnxrt_cuda,17,Conv:/model.12/m.0/cv2/conv/Conv_kernel_time,onnxruntime,onnx_node,1.4762,8.090073,0.334,63.616,60,0.02521,98.542795
yolov8n,onnxrt_cuda,18,Conv:/model.15/m.0/cv1/conv/Conv_kernel_time,onnxruntime,onnx_node,1.4665,7.593384,0.368,59.79,60,0.025045,98.567839
yolov8n,onnxrt_cuda,19,Conv:/model.15/m.0/cv2/conv/Conv_kernel_time,onnxruntime,onnx_node,1.445783,7.689418,0.335,60.507,60,0.024691,98.59253
yolov8n,onnxrt_cuda,20,Conv:/model.18/m.0/cv1/conv/Conv_kernel_time,onnxruntime,onnx_node,1.441467,8.055076,0.358,63.313,60,0.024617,98.617148
yolov8n,onnxrt_cuda,21,Conv:/model.6/m.0/cv1/conv/Conv_kernel_time,onnxruntime,onnx_node,1.436817,8.02659,0.365,63.09,60,0.024538,98.641685
yolov8n,onnxrt_cuda,22,Conv:/model.12/m.0/cv1/conv/Conv_kernel_time,onnxruntime,onnx_node,1.433417,8.01447,0.365,62.993,60,0.02448,98.666165
yolov8n,onnxrt_cuda,23,Conv:/model.6/m.0/cv2/conv/Conv_kernel_time,onnxruntime,onnx_node,1.432917,8.063046,0.343,63.366,60,0.024471,98.690636
yolov8n,onnxrt_cuda,24,Conv:/model.6/m.1/cv1/conv/Conv_kernel_time,onnxruntime,onnx_node,1.413883,8.103489,0.333,63.657,60,0.024146,98.714783
yolov8n,onnxrt_cuda,25,Conv:/model.6/m.1/cv2/conv/Conv_kernel_time,onnxruntime,onnx_node,1.406467,8.067294,0.33,63.372,60,0.024019,98.738802
yolov8n,onnxrt_cuda,26,Conv:/model.22/cv2.1/cv2.1.1/conv/Conv_kernel_time,onnxruntime,onnx_node,1.406283,8.074734,0.33,63.429,60,0.024016,98.762818
yolov8n,onnxrt_cuda,27,Conv:/model.4/m.1/cv2/conv/Conv_kernel_time,onnxruntime,onnx_node,1.40065,7.590129,0.339,59.701,60,0.02392,98.786739
yolov8n,onnxrt_cuda,28,Conv:/model.22/cv3.2/cv3.2.0/conv/Conv_kernel_time,onnxruntime,onnx_node,1.396833,7.112081,0.348,56.021,60,0.023855,98.810594
yolov8n,onnxrt_cuda,29,Conv:/model.4/m.0/cv1/conv/Conv_kernel_time,onnxruntime,onnx_node,1.376083,7.555149,0.37,59.408,60,0.023501,98.834094
yolov8n,onnxrt_cuda,30,Conv:/model.4/m.1/cv1/conv/Conv_kernel_time,onnxruntime,onnx_node,1.36565,7.698697,0.337,60.5,60,0.023322,98.857417
yolov8n,onnxrt_cuda,31,Conv:/model.4/m.0/cv2/conv/Conv_kernel_time,onnxruntime,onnx_node,1.344533,7.582818,0.334,59.589,60,0.022962,98.880378
yolov8n,onnxrt_cuda,32,Conv:/model.22/cv3.2/cv3.2.1/conv/Conv_kernel_time,onnxruntime,onnx_node,1.280283,6.501376,0.338,51.214,60,0.021865,98.902243
yolov8n,onnxrt_cuda,33,Conv:/model.22/cv2.2/cv2.2.0/conv/Conv_kernel_time,onnxruntime,onnx_node,1.279733,6.273135,0.341,49.46,60,0.021855,98.924098
yolov8n,onnxrt_cuda,34,Conv:/model.15/cv1/conv/Conv_kernel_time,onnxruntime,onnx_node,1.258083,5.890106,0.413,46.5,60,0.021485,98.945583
yolov8n,onnxrt_cuda,35,Conv:/model.22/cv3.1/cv3.1.0/conv/Conv_kernel_time,onnxruntime,onnx_node,1.231617,6.604896,0.345,51.964,60,0.021033,98.966617
yolov8n,onnxrt_cuda,36,Conv:/model.8/m.0/cv1/conv/Conv_kernel_time,onnxruntime,onnx_node,1.205467,5.558543,0.368,43.9,60,0.020587,98.987204
