model,runtime,rank,layer_name,backend,granularity,mean_ms,std_ms,min_ms,max_ms,samples,percent_total_ms,cumulative_percent_ms
yolov8n,tensorrt_fp16,1,/model.22/dfl/conv/Conv,tensorrt,trt_layer,34.324181,259.107563,0.587708,2024.567139,60,31.44222,31.44222
yolov8n,tensorrt_fp16,2,/model.22/cv2.0/cv2.0.0/conv/Conv || /model.22/cv3.0/cv3.0.0/conv/Conv,tensorrt,trt_layer,3.53899,1.099075,3.366875,11.980521,60,3.241846,34.684066
yolov8n,tensorrt_fp16,3,/model.0/conv/Conv,tensorrt,trt_layer,3.231742,2.541417,2.879583,22.752657,60,2.960395,37.644462
yolov8n,tensorrt_fp16,4,/model.22/dfl/Softmax,tensorrt,trt_layer,2.806478,0.046602,2.796406,3.16401,60,2.570838,40.215299
yolov8n,tensorrt_fp16,5,/model.22/cv3.0/cv3.0.1/conv/Conv,tensorrt,trt_layer,2.405233,0.037915,2.387709,2.689219,60,2.203282,42.418582
yolov8n,tensorrt_fp16,6,Reformatting CopyNode for Input Tensor 0 to /model.0/conv/Conv,tensorrt,trt_layer,2.213208,1.760008,1.982813,15.732083,60,2.02738,44.445962
yolov8n,tensorrt_fp16,7,(Unnamed Layer* 230) [Shuffle] + /model.22/dfl/Transpose_1,tensorrt,trt_layer,1.911115,0.034615,1.872396,1.966354,60,1.750652,46.196614
yolov8n,tensorrt_fp16,8,/model.22/cv2.1/cv2.1.0/conv/Conv || /model.22/cv3.1/cv3.1.0/conv/Conv,tensorrt,trt_layer,1.725085,0.031538,1.701146,1.955104,60,1.580242,47.776856
yolov8n,tensorrt_fp16,9,/model.1/conv/Conv,tensorrt,trt_layer,1.577336,1.260457,1.393073,11.258854,60,1.444898,49.221754
yolov8n,tensorrt_fp16,10,"PWN(PWN(/model.0/act/Sigmoid), /model.0/act/Mul)",tensorrt,trt_layer,1.471474,1.171583,1.317343,10.470573,60,1.347925,50.569679
yolov8n,tensorrt_fp16,11,/model.22/cv2.0/cv2.0.1/conv/Conv,tensorrt,trt_layer,1.338122,0.146361,1.313593,2.461823,60,1.225769,51.795448
yolov8n,tensorrt_fp16,12,/model.2/m.0/cv1/conv/Conv,tensorrt,trt_layer,1.33288,0.154806,1.285104,2.519687,60,1.220967,53.016416
yolov8n,tensorrt_fp16,13,/model.2/m.0/cv2/conv/Conv,tensorrt,trt_layer,1.293865,0.157597,1.257708,2.501771,60,1.185228,54.201644
yolov8n,tensorrt_fp16,14,/model.22/dfl/Reshape + /model.22/dfl/Transpose,tensorrt,trt_layer,1.255657,0.019113,1.241771,1.386094,60,1.150228,55.351872
yolov8n,tensorrt_fp16,15,/model.22/cv2.2/cv2.2.0/conv/Conv || /model.22/cv3.2/cv3.2.0/conv/Conv,tensorrt,trt_layer,1.248341,0.019663,1.232396,1.386614,60,1.143527,56.495399
yolov8n,tensorrt_fp16,16,/model.22/Sigmoid_output_0 copy,tensorrt,trt_layer,1.241424,0.001662,1.238437,1.244427,60,1.13719,57.632589
yolov8n,tensorrt_fp16,17,/model.22/Split_8,tensorrt,trt_layer,1.23862,0.022372,1.232864,1.410052,60,1.134622,58.767211
yolov8n,tensorrt_fp16,18,/model.7/conv/Conv,tensorrt,trt_layer,1.177398,0.177092,1.138021,2.536302,60,1.07854,59.845751
yolov8n,tensorrt_fp16,19,/model.13/Resize,tensorrt,trt_layer,1.083958,0.142649,1.063229,2.179635,60,0.992946,60.838697
yolov8n,tensorrt_fp16,20,/model.3/conv/Conv,tensorrt,trt_layer,1.04513,0.129189,1.020208,2.03724,60,0.957378,61.796074
yolov8n,tensorrt_fp16,21,/model.22/Reshape_output_0 copy,tensorrt,trt_layer,1.009073,0.017687,1.00474,1.144636,60,0.924348,62.720423
yolov8n,tensorrt_fp16,22,/model.13/Resize_output_0 copy,tensorrt,trt_layer,1.002395,0.144885,0.981459,2.115261,60,0.918231,63.638653
yolov8n,tensorrt_fp16,23,/model.5/conv/Conv,tensorrt,trt_layer,0.999816,0.170525,0.964114,2.308281,60,0.915868,64.554522
yolov8n,tensorrt_fp16,24,/model.22/Split,tensorrt,trt_layer,0.993485,0.017981,0.988594,1.131198,60,0.910069,65.464591
yolov8n,tensorrt_fp16,25,Reformatting CopyNode for Input Tensor 0 to /model.22/Reshape,tensorrt,trt_layer,0.957053,0.017222,0.952292,1.088542,60,0.876696,66.341287
yolov8n,tensorrt_fp16,26,/model.2/cv2/conv/Conv,tensorrt,trt_layer,0.749306,0.088238,0.721771,1.426615,60,0.686392,67.027679
yolov8n,tensorrt_fp16,27,/model.15/cv1/conv/Conv,tensorrt,trt_layer,0.742599,0.155924,0.717136,1.940156,60,0.680248,67.707927
